Date,,USD to EUR,EUR to USD
8/22/2010 Sunday,22-Aug,1.27055,0.78706
8/23/2010 Monday,23-Aug,1.26471,0.7907
8/24/2010 Tuesday,24-Aug,1.2632,0.79164
8/25/2010 Wednesday,25-Aug,1.26639,0.78964
8/26/2010 Thursday,26-Aug,1.2715,0.78647
8/27/2010 Friday,27-Aug,1.2732,0.78542
8/28/2010 Saturday,28-Aug,1.2766,0.78333
8/29/2010 Sunday,29-Aug,1.27658,0.78334
8/30/2010 Monday,30-Aug,1.26638,0.78977
8/31/2010 Tuesday,31-Aug,1.26897,0.78804
9/1/2010 Wednesday,1-Sep,1.28032,0.78105
9/2/2010 Thursday,2-Sep,1.28245,0.77976
9/3/2010 Friday,3-Sep,1.2894,0.77555
9/4/2010 Saturday,4-Sep,1.28832,0.7762
9/5/2010 Sunday,5-Sep,1.28939,0.77556
9/6/2010 Monday,6-Sep,1.28755,0.77667
9/7/2010 Tuesday,7-Sep,1.26807,0.7886
9/8/2010 Wednesday,8-Sep,1.27241,0.78591
9/9/2010 Thursday,9-Sep,1.26991,0.78746
9/10/2010 Friday,10-Sep,1.2709,0.78684
9/11/2010 Saturday,11-Sep,1.27292,0.7856
9/12/2010 Sunday,12-Sep,1.27092,0.78683
9/13/2010 Monday,13-Sep,1.2876,0.77664
9/14/2010 Tuesday,14-Sep,1.29878,0.76996
9/15/2010 Wednesday,15-Sep,1.3012,0.76852
9/16/2010 Thursday,16-Sep,1.3072,0.76499
9/17/2010 Friday,17-Sep,1.3035,0.76717
9/18/2010 Saturday,18-Sep,1.30743,0.76486
9/19/2010 Sunday,19-Sep,1.30515,0.7662
9/20/2010 Monday,20-Sep,1.3061,0.76564
9/21/2010 Tuesday,21-Sep,1.3251,0.75466
9/22/2010 Wednesday,22-Sep,1.3398,0.74638
9/23/2010 Thursday,23-Sep,1.33103,0.7513
9/24/2010 Friday,24-Sep,1.349,0.74129
9/25/2010 Saturday,25-Sep,1.34912,0.74123
9/26/2010 Sunday,26-Sep,1.34842,0.74161
9/27/2010 Monday,27-Sep,1.3441,0.74399
9/28/2010 Tuesday,28-Sep,1.35851,0.7361
9/29/2010 Wednesday,29-Sep,1.362,0.73421
9/30/2010 Thursday,30-Sep,1.36291,0.73372
10/1/2010 Friday,1-Oct,1.3777,0.72585
10/2/2010 Saturday,2-Oct,1.37778,0.7258
10/3/2010 Sunday,3-Oct,1.37867,0.72534
10/4/2010 Monday,4-Oct,1.3672,0.73142
10/5/2010 Tuesday,5-Oct,1.38345,0.72283
10/6/2010 Wednesday,6-Oct,1.3924,0.71818
10/7/2010 Thursday,7-Oct,1.3916,0.7186
10/8/2010 Friday,8-Oct,1.3927,0.71803
10/9/2010 Saturday,9-Oct,1.39461,0.71704
10/10/2010 Sunday,10-Oct,1.40028,0.71414
10/11/2010 Monday,11-Oct,1.3882,0.72036
10/12/2010 Tuesday,12-Oct,1.39165,0.71857
10/13/2010 Wednesday,13-Oct,1.3959,0.71638
10/14/2010 Thursday,14-Oct,1.408,0.71023
10/15/2010 Friday,15-Oct,1.3972,0.71572
10/16/2010 Saturday,16-Oct,1.3996,0.71449
10/17/2010 Sunday,17-Oct,1.39748,0.71557
10/18/2010 Monday,18-Oct,1.39491,0.71689
10/19/2010 Tuesday,19-Oct,1.37413,0.72773
10/20/2010 Wednesday,20-Oct,1.39591,0.71638
10/21/2010 Thursday,21-Oct,1.39255,0.71811
10/22/2010 Friday,22-Oct,1.3926,0.71808
10/23/2010 Saturday,23-Oct,1.3959,0.71638
10/24/2010 Sunday,24-Oct,1.39505,0.71682
10/25/2010 Monday,25-Oct,1.3954,0.71664
10/26/2010 Tuesday,26-Oct,1.38634,0.72132
10/27/2010 Wednesday,27-Oct,1.37745,0.72598
10/28/2010 Thursday,28-Oct,1.39295,0.7179
10/29/2010 Friday,29-Oct,1.3916,0.7186
10/30/2010 Saturday,30-Oct,1.3947,0.717
10/31/2010 Sunday,31-Oct,1.39675,0.71595
11/1/2010 Monday,1-Nov,1.38968,0.71959
11/2/2010 Tuesday,2-Nov,1.40323,0.71264
11/3/2010 Wednesday,3-Nov,1.41331,0.70756
11/4/2010 Thursday,4-Nov,1.4217,0.70338
11/5/2010 Friday,5-Nov,1.4031,0.71271
11/6/2010 Saturday,6-Nov,1.40322,0.71264
11/7/2010 Sunday,7-Nov,1.4056,0.71144
11/8/2010 Monday,8-Nov,1.39131,0.7187
11/9/2010 Tuesday,9-Nov,1.37651,0.72648
11/10/2010 Wednesday,10-Nov,1.3774,0.726
