NORTH AMERICAN MARKET SHARES						
Date	IE	Firefox	Chrome	Safari	Opera	Other
2010-01	53.5	30.02	5.92	8.47	0.75	1.35
2010-02	53.73	29.45	6.39	8.72	0.67	1.03
2010-03	54.54	28.63	6.96	8.29	0.66	0.92
2010-04	53.03	29.36	7.66	8.45	0.56	0.95
2010-05	52.9	29	8.08	8.4	0.66	0.96
2010-06	53.61	28.02	8.64	8.14	0.68	0.91
2010-07	54.04	27.27	9.03	8.07	0.7	0.89
2010-08	52.92	27.46	9.5	8.6	0.65	0.87
2010-09	52.3	27.21	9.87	9.16	0.66	0.81
2010-10	52.01	26.57	10.53	9.47	0.65	0.77
2010-11	51	26.47	11.3	9.84	0.65	0.74
2010-12	48.92	26.7	12.82	10.16	0.65	0.75
2011-01	48.96	26.14	13.15	10.42	0.6	0.72
2011-02	48.16	26.24	13.76	10.58	0.58	0.68
