Worldwide Market Shares						
Date	IE	Firefox	Chrome	Safari	Opera	Other
2010-01	55.25	31.64	6.04	3.76	2	1.31
2010-02	54.5	31.82	6.72	4.08	1.97	0.91
2010-03	54.44	31.27	7.29	4.16	1.97	0.87
2010-04	53.26	31.74	8.06	4.23	1.82	0.89
2010-05	52.77	31.64	8.61	4.14	1.96	0.88
2010-06	52.86	31.15	9.24	4.07	1.91	0.77
2010-07	52.68	30.69	9.88	4.09	1.91	0.74
2010-08	51.34	31.09	10.76	4.23	1.88	0.7
2010-09	49.87	31.5	11.54	4.42	2.03	0.63
2010-10	49.21	31.24	12.39	4.56	2	0.6
2010-11	48.16	31.17	13.35	4.7	2.01	0.6
2010-12	46.94	30.76	14.85	4.79	2.07	0.58
2011-01	46	30.68	15.68	5.09	2	0.55
2011-02	45.48	30.5	16.35	5.11	2	0.56
