Date	USD to GBP	GBP to USD
22-Aug	1.55405	0.64348
23-Aug	1.5501	0.64512
24-Aug	1.54055	0.64912
25-Aug	1.5475	0.6462
26-Aug	1.55225	0.64423
27-Aug	1.55125	0.64464
28-Aug	1.55141	0.64457
29-Aug	1.55355	0.64369
30-Aug	1.54619	0.64676
31-Aug	1.53495	0.65149
1-Sep	1.5452	0.64717
2-Sep	1.53938	0.64961
3-Sep	1.54615	0.64677
4-Sep	1.54515	0.64718
5-Sep	1.54455	0.64744
6-Sep	1.53965	0.6495
7-Sep	1.53525	0.65136
8-Sep	1.54725	0.64631
9-Sep	1.543	0.64809
10-Sep	1.53545	0.65127
11-Sep	1.53845	0.65001
12-Sep	1.53565	0.65119
13-Sep	1.54235	0.64836
14-Sep	1.5532	0.64383
15-Sep	1.56321	0.63971
16-Sep	1.56225	0.6401
17-Sep	1.56205	0.64018
18-Sep	1.56355	0.63957
19-Sep	1.56588	0.63862
20-Sep	1.55435	0.64336
21-Sep	1.56072	0.64073
22-Sep	1.56515	0.63892
23-Sep	1.56815	0.63769
24-Sep	1.58265	0.63185
25-Sep	1.58265	0.63185
26-Sep	1.58237	0.63196
27-Sep	1.58102	0.63251
28-Sep	1.58049	0.63272
29-Sep	1.57915	0.63325
30-Sep	1.57105	0.63652
1-Oct	1.58335	0.63157
2-Oct	1.58336	0.63157
3-Oct	1.58064	0.63265
4-Oct	1.58205	0.63209
5-Oct	1.58885	0.62939
6-Oct	1.58825	0.62962
7-Oct	1.58678	0.63021
8-Oct	1.59545	0.62678
9-Oct	1.59495	0.62698
10-Oct	1.59555	0.62674
11-Oct	1.5887	0.62945
12-Oct	1.58062	0.63266
13-Oct	1.5893	0.62921
14-Oct	1.60085	0.62467
15-Oct	1.59825	0.62568
16-Oct	1.60245	0.62405
17-Oct	1.59827	0.62568
18-Oct	1.5894	0.62917
19-Oct	1.5705	0.63674
20-Oct	1.5838	0.63139
21-Oct	1.5712	0.63646
22-Oct	1.56785	0.63782
23-Oct	1.56855	0.63753
24-Oct	1.56662	0.63832
25-Oct	1.57275	0.63583
26-Oct	1.585	0.63091
27-Oct	1.57801	0.63371
28-Oct	1.5941	0.62731
29-Oct	1.60225	0.62412
30-Oct	1.60406	0.62342
31-Oct	1.60546	0.62287
1-Nov	1.60416	0.62338
2-Nov	1.60335	0.62369
3-Nov	1.61025	0.62102
4-Nov	1.627	0.61463
5-Nov	1.61795	0.61807
6-Nov	1.61795	0.61806
7-Nov	1.6189	0.6177
8-Nov	1.61392	0.61961
9-Nov	1.59792	0.62581
10-Nov	1.61162	0.6205
11-Nov	1.61222	0.62026
12-Nov	1.61335	0.61983
13-Nov	1.61141	0.62057
14-Nov	1.6126	0.62012
15-Nov	1.60491	0.62309
16-Nov	1.58798	0.62973
17-Nov	1.59095	0.62856
18-Nov	1.60495	0.62307
19-Nov	1.59885	0.62545
20-Nov	1.59877	0.62548
21-Nov	1.6004	0.62484
22-Nov	1.59565	0.6267
23-Nov	1.57873	0.63342
24-Nov	1.57795	0.63373
25-Nov	1.5762	0.63444
26-Nov	1.55935	0.64129
27-Nov	1.55875	0.64154
28-Nov	1.55999	0.64103
29-Nov	1.55565	0.64282
30-Nov	1.5558	0.64276
1-Dec	1.56115	0.64055
2-Dec	1.55891	0.64147
3-Dec	1.57705	0.63409
4-Dec	1.57225	0.63603
5-Dec	1.57692	0.63415
6-Dec	1.57169	0.63626
7-Dec	1.57565	0.63466
8-Dec	1.5808	0.63259
9-Dec	1.5773	0.63399
10-Dec	1.58105	0.63249
11-Dec	1.58155	0.63229
12-Dec	1.57985	0.63297
13-Dec	1.58535	0.63078
14-Dec	1.57709	0.63408
15-Dec	1.55465	0.64323
16-Dec	1.5636	0.63955
17-Dec	1.5519	0.64437
18-Dec	1.55324	0.64382
19-Dec	1.55164	0.64448
20-Dec	1.5505	0.64495
21-Dec	1.547	0.64641
22-Dec	1.5391	0.64973
23-Dec	1.54275	0.64819
24-Dec	1.5439	0.64771
25-Dec	1.54406	0.64764
26-Dec	1.54427	0.64755
27-Dec	1.54195	0.64853
28-Dec	1.53659	0.65079
