GPA	Endpoints
2.12	2.245
2.16	2.495
2.18	2.745
2.19	2.995
2.22	3.245
2.25	3.495
2.30	3.745
2.31	3.995
2.33	
2.45	
2.46	
2.51	
2.51	
2.53	
2.53	
2.54	
2.55	
2.55	
2.55	
2.55	
2.56	
2.56	
2.58	
2.62	
2.65	
2.78	
2.78	
2.79	
2.82	
2.87	
2.88	
2.88	
2.88	
2.88	
2.88	
2.90	
2.91	
2.92	
2.98	
2.99	
3.01	
3.05	
3.06	
3.07	
3.08	
3.10	
3.10	
3.10	
3.14	
3.18	
3.18	
3.18	
3.18	
3.18	
3.18	
3.18	
3.18	
3.18	
3.18	
3.18	
3.2	
3.21	
3.21	
3.21	
3.22	
3.24	
3.24	
3.24	
3.25	
3.26	
3.28	
3.29	
3.29	
3.29	
3.31	
3.31	
3.31	
3.31	
3.31	
3.31	
3.31	
3.31	
3.31	
3.31	
3.31	
3.32	
3.32	
3.32	
3.32	
3.32	
3.33	
3.33	
3.33	
3.33	
3.34	
3.34	
3.34	
3.34	
3.34	
3.34	
3.34	
3.34	
3.34	
3.35	
3.35	
3.35	
3.35	
3.36	
3.36	
3.36	
3.36	
3.36	
3.36	
3.36	
3.36	
3.36	
3.37	
3.37	
3.37	
3.37	
3.37	
3.37	
3.37	
3.37	
3.39	
3.39	
3.39	
3.40	
3.40	
3.40	
3.40	
3.40	
3.40	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.42	
3.65	
3.67	
3.70	
3.71	
3.72	
3.85	
