Year	GDP	Personal consumption expenditur	Gross private domestic investme	Exports	Imports	Government consumption expendit	Sum  GDP Components	Residual	Real Total Govt Receipts	Real Total Govt Expenditures	Real Fed Govt Receipts	Real Fed Govt Expenditures	Real Disposable Personal Income	Personal Savings in 2005 dollar	Real Gross Savings	Gross domestic investment	Net Saving  in real 2005 Dollar	Gross Private Saving 2005 Dolla	Percent GDP Fed Exp	Percent GDP Fed Receipts
1929	977	736.6	101.7	38	49.1	146.5	973.7	3.3	164.3449679	125.2152136	57.91203631	40.69494444	792	34.056	182.3507181	182.3507181	91.64777022	149.281935	4.165296257	5.927536982
1930	892.8	697.1	67.9	31.4	42.7	161.4	915.1	-22.3	161.498708	135.6589147	46.83462532	43.60465116	741.1	29.644	147.4201474	136.6093366	55.03685504	122.8501229	4.884033508	5.245813768
1931	834.9	675.2	42.6	26.1	37.3	168.2	874.8	-39.9	147.9591837	166.6666667	32.31292517	68.02721088	714.9	26.4513	90.56192035	97.10856519	-5.45553737	92.7441353	8.147947165	3.870274904
1932	725.8	614.7	12.9	20.4	30.9	162.6	779.7	-53.9	153.2137519	164.4245142	29.89536622	56.05381166	619.9	-6.8189	40.6303866	41.86161044	-54.17384881	38.16793893	7.723038256	4.118953736
1933	716.4	601.1	18.9	20.6	32.2	157.2	765.6	-49.2	156.0515333	166.9388496	47.17837053	61.69479223	601.6	-10.2272	41.72461752	46.78214692	-51.83967632	36.66708813	8.611780044	6.585478857
1934	794.4	644	34.2	22.8	32.9	177.3	845.4	-51	163.6026311	180.4688818	57.34525215	92.76437848	660.3	5.9427	77.14561234	77.14561234	-16.8756027	75.94021215	11.67728833	7.21868733
1935	865	683.3	63.4	24.1	43.1	182.2	909.9	-44.9	175.6146513	187.3222947	61.88325807	93.66114735	723.9	30.4038	113.4617657	112.2798724	21.27408108	109.9160856	10.82787831	7.154133881
1936	977.9	752.9	81.2	25.3	42.6	212.6	1029.4	-51.5	193.213184	207.8259458	74.68744926	126.6439357	815.1	50.5362	134.4400281	149.6375964	39.74748656	130.9328969	12.95060187	7.637534437
1937	1028	780.7	101.5	31.9	48	203.6	1069.7	-41.7	227.3449921	190.7790143	104.9284579	101.7488076	842.8	49.7252	182.6792963	179.2963464	81.19079838	142.0838972	9.897743933	10.20704843
1938	992.6	768.2	67.1	31.5	37.3	219.3	1048.8	-56.2	220.5299064	209.4240838	95.19276535	115.8178645	795.1	15.1069	134.4673026	129.8701299	28.73232962	111.4814389	11.66813062	9.590244343
1939	1072.8	811.1	86.2	33.3	39.2	238.6	1130	-57.2	228.9953233	230.6079665	101.5965167	133.8493791	861.4	37.9016	158.3052031	160.6332208	50.0523804	142.0090793	12.47663862	9.470219677
