Player	Gender	Error
1	Male	C
2	Male	D
3	Male	D
4	Male	C
5	Male	E
6	Male	A
7	Male	E
8	Male	C
9	Male	C
10	Male	E
11	Male	A
12	Male	C
13	Male	E
14	Male	A
15	Male	C
16	Male	B
17	Male	C
18	Male	B
19	Male	B
20	Male	C
21	Male	C
22	Male	C
23	Male	E
24	Male	E
25	Male	B
26	Female	C
27	Female	C
28	Female	A
29	Female	A
30	Female	B
31	Female	B
32	Female	B
33	Female	D
34	Female	D
35	Female	D
36	Female	E
37	Female	B
38	Female	B
39	Female	D
40	Female	D
41	Female	D
42	Female	D
43	Female	D
44	Female	B
45	Female	A
