Month,company,price_m001,price_m002,price_m003,price_m004,price_m005,price_m006,price_m007,price_m008,price_m009,price_m010,price_m011,price_m012,price_m013,price_m014,price_m015,price_m016,price_m017,price_m018,price_m019,price_m020,price_m021,price_m022,price_m023,price_m024,price_m025,price_m026,price_m027,price_m028,price_m029,price_m030,price_m031,price_m032,price_m033,price_m034,price_m035,price_m036,price_m037,price_m038,price_m039,price_m040,price_m041,price_m042,price_m043,price_m044,price_m045,price_m046,price_m047,price_m048,price_m049,price_m050,price_m051,price_m052,price_m053,price_m054,price_m055,price_m056,price_m057,price_m058,price_m059,price_m060,price_m061,price_m062,price_m063,price_m064,price_m065,price_m066,price_m067,price_m068,price_m069,price_m070,price_m071,price_m072,price_m073,price_m074,price_m075,price_m076,price_m077,price_m078,price_m079,price_m080,price_m081,price_m082,price_m083,price_m084,price_m085,price_m086,price_m087,price_m088,price_m089,price_m090,price_m091,price_m092,price_m093,price_m094,price_m095,price_m096,price_m097,price_m098,price_m099,price_m100,price_m101,price_m102,price_m103,price_m104,price_m105,price_m106,price_m107,price_m108,price_m109,price_m110,price_m111,price_m112,price_m113,price_m114,price_m115,price_m116,price_m117,price_m118,price_m119,price_m120
200804,3M Company,76.9,79.15,78.4,79.65,84.32,83.26,86.36,93.58,90.99,88.92,86.79,87.96,82.77,76.43,74.08,74.3,77.93,81.46,78.84,74.42,71.7,70.4,80.77,83.66,85.43,75.69,73.59,72.75,77.5,78.48,75.98,73.36,71.15,75,72.3,76.65,76.47,85.69,83.94,84.36,82.07,79.59,77.57,79.97,82.36,82.36,90.01,84.56,86.48,81.87,78.02,79.09,85.03,79.04,78.87,69.07,71.24,70.1,64.49,63.24,63.02,65.02,62.69,62.28,61.65,64.93,63.47,54.99,62.48,62.92,61.5,62.72,62.9,57.51,58.97,55.5,59.11,57.29,52.19,49.2,52.05,55.94,57.05,59.29,59.51,51.95,56.38,55.33,60.25,49.94,48.31,45.56,46.51,45.03,41.5,42.88,43.31,44.28,44.09,46.81,48.94,47.78,47.53,48.03,47.25,43.97,43.47,42.88,44.5,35.38,37.03,38.81,35.56,40.25,39.81,36.84,34.25,37.56,41.09,46.31
200803,AB Volvo  (ADR),15.35,15.1,14.9,13.55,16.5,17.04,19.65,17.35,17.3,18.43,19.89,21.03,19.45,16.81,15.39,14.71,13.75,12.99,12.47,11.94,11.4,10.61,9.8,9.84,10.08,9.32,8.73,9.75,9.42,8.51,8.21,8.74,8.62,8.34,8.1,8.16,8.09,8.88,9.18,8.08,7.92,8.13,7.58,7.05,6.86,7.2,7,6.57,6.87,6.61,6.34,6.55,6.12,5.8,5.56,4.66,4.87,4.9,4.42,4.2,4.06,3.53,3.54,3.38,3.31,3.72,3.03,2.87,3.29,3.71,4.07,3.74,3.89,3.94,3.46,3.11,3.28,3.2,2.78,2.56,3.13,3.15,3.04,3.19,3.35,3.14,3.74,3.7,3.3,2.96,3.13,3.23,3.3,3.68,4.38,4.68,4.79,5.46,4.68,4.85,5.05,4.8,5.18,5.74,5.56,6.18,5.88,5.1,5.3,5.16,5.1,5.4,4.66,4.63,4.38,4.83,5.38,6.14,5.91,6.4
200802,Alcoa Inc.,34.78,36.06,37.14,33.09,36.55,36.37,39.59,39.12,36.53,38.2,40.53,41.28,35.49,33.9,33.41,32.3,30.01,31.17,28.91,28.04,28.59,29.95,32.36,31.72,33.78,30.56,29.32,31.5,29.57,27.41,24.29,24.42,26.79,28.05,26.13,27.1,29.02,30.39,32.12,29.51,31.42,33.98,32.5,33.59,32.38,32.03,33.03,31.3,30.75,34.69,37.47,34.18,38,32.81,31.57,26.16,28.56,27.77,25.5,24.61,22.93,19.38,20.5,19.77,22.78,25.55,22.06,19.3,25.09,27.05,33.15,34.98,34.03,37.74,37.57,35.85,35.55,38.6,32.27,31.01,38.12,39.23,39.4,43.15,41.4,35.95,35.76,36.74,33.5,28.19,28.69,25.31,33.27,30.25,29,29.22,32.44,35.13,34.25,34.84,41.5,32.75,30.38,31.03,32.28,29.94,30.94,27.5,31.13,20.59,20.25,20.89,18.64,18.56,19.81,17.75,14.97,17.33,16.48,17.34
200801,General Motors Corporation,23.2,19.05,23.28,28.21,24.89,29.83,39.19,36.7,30.74,32.4,37.8,29.99,31.23,30.64,31.9,32.84,30.72,29.23,34.92,33.26,29.18,32.23,29.79,26.93,22.88,21.27,20.31,24.06,19.42,21.9,27.4,30.61,34.19,36.82,34,31.53,26.68,29.39,35.65,36.81,40.06,38.59,38.55,42.48,41.31,43.14,46.59,45.39,47.42,47.1,48.12,49.68,53.4,42.78,42.67,40.93,41.1,37.43,36,35.33,36.05,33.62,33.77,36.33,36.86,39.7,33.25,38.9,47.86,46.55,53.45,62.15,64.15,60.45,52.98,51.14,48.6,49.7,41.32,42.9,54.75,63.6,64.35,56.9,54.81,51.85,53.32,53.7,50.94,49.5,62.13,65,70,56.94,58.06,70.63,93.63,82.81,76.06,80.56,72.69,73.79,70.44,62.94,66.25,61.13,66,69,89.06,87,82.56,89.75,71.56,69.88,63.19,54.88,58.13,72.31,66.81,71.88
200712,Infosys Technologies Limited (,43.69,35.77,38.92,41.4,45.36,42.15,50.94,48.39,47.71,49.6,50.38,49.25,52.35,50.25,54.26,58,54.56,53.53,52.1,47.73,44.85,41.09,38.21,35.3,39.33,38.93,35.4,38.11,40.43,36.03,34,37.14,35.4,35.59,38.8,36.17,29.6,36.87,38.13,33.02,34.66,36,33.22,28.3,26.07,25.08,23.3,20.69,20.19,20.43,21.01,22.09,23.85,20.76,21.13,17.02,14.2,13.31,13.41,11.05,10.28,15.34,15.45,16.24,17.39,20.81,17.89,13.55,14.15,12.88,12.8,14.14,15.51,16.38,13.75,15.71,15.5,14.28,11.8,8.45,13.13,16.51,16.25,17,18.38,16.38,23,30.22,23.06,29.97,34.38,33,39,33.23,44.31,38.38,50.75,48.25,67.56,40.61,41.25,25.75,18.88,17.88,12.4,10.22,7.25,6.22,5.16,5.39,,,,,,,,,,
200711,Intel Corporation,22.26,21.18,19.97,21.1,26.66,26.08,26.9,25.86,25.75,23.62,23.74,22.18,21.5,19.13,19.86,20.96,20.25,21.4,21.34,20.57,19.57,18,19,18.02,19.98,19.46,20.6,21.26,24.96,26.68,23.5,24.65,25.72,27.14,26.02,26.96,23.52,23.23,23.99,22.45,23.39,22.38,22.26,20.06,21.29,24.38,27.6,28.55,25.73,27.2,29.2,30.52,32.05,33.54,32.95,27.52,28.59,24.89,20.81,20.82,18.37,16.28,17.26,15.7,15.57,20.88,17.3,13.89,16.67,18.79,18.27,27.62,28.61,30.41,28.55,35.04,31.45,32.66,24.42,20.44,27.96,29.81,29.25,27.01,30.91,26.31,28.56,37,30.06,38.06,45,41.56,74.88,66.75,66.84,62.34,63.41,65.97,56.5,49.47,41.16,38.34,38.72,37.16,41.09,34.5,29.75,27.03,30.59,29.72,29.98,35.23,29.64,26.91,22.3,21.44,17.8,21.11,18.53,17.86
200710,International Business Machine,120.7,115.14,113.86,107.11,108.1,105.18,116.12,117.8,116.69,110.65,105.25,106.6,102.21,94.26,92.94,99.15,97.15,91.92,92.33,81.94,80.97,77.41,76.82,79.9,82.34,82.47,80.24,81.3,82.2,88.9,81.88,80.22,80.62,83.46,74.2,75.55,76.38,91.38,92.58,93.42,98.58,94.24,89.75,85.74,84.69,87.07,88.15,88.59,88.17,91.84,96.5,99.23,92.68,90.54,89.48,88.33,82.01,81.25,82.5,88.04,84.9,78.43,77.95,78.2,77.5,86.92,78.94,58.31,75.38,70.4,72,80.45,83.76,104,98.12,107.89,120.96,115.59,108.07,91.72,99.95,105.21,113,111.8,115.14,96.18,99.9,112,85,93.5,98.5,112.63,132.02,112.25,109.56,107.31,111.5,118.38,102.75,112.25,107.88,103.06,98.25,121,124.56,125.69,129.25,116,104.59,88.63,84.88,91.63,92.19,82.56,74.25,64.25,56.31,66.25,57.41,58.75
200709,Microsoft Corporation,28.52,28.38,27.2,32.6,35.6,33.6,36.81,29.46,28.73,28.99,29.47,30.69,29.94,27.87,28.17,30.86,29.86,29.36,28.71,27.35,25.7,24.06,23.3,22.65,24.15,27.21,26.87,28.15,26.15,27.68,25.7,25.73,27.38,25.61,24.84,25.8,25.3,24.17,25.16,26.28,26.72,26.81,27.97,27.65,27.3,28.49,28.56,26.23,26.13,24.93,26.53,27.65,27.37,25.71,26.14,27.8,26.52,26.41,25.64,24.61,25.56,24.21,23.7,23.73,25.85,28.84,26.74,21.87,24.54,23.99,27.35,25.46,26.13,30.16,29.17,31.86,33.13,32.11,29.08,25.59,28.53,33.1,36.5,34.59,33.88,27.34,29.5,30.53,21.69,28.69,34.44,30.16,34.91,34.91,40,31.28,34.88,53.13,44.69,48.94,58.38,45.52,46.28,45.28,46.28,42.91,45.09,40.34,40.66,44.81,37.53,43.75,34.67,30.5,26.47,27.52,23.98,27.48,27.09,21.2
200708,"Nissan Motor Co., Ltd. (ADR)",17.73,16.68,18,19.16,21.72,22.9,23.03,20.01,19.1,21.31,21.44,22.32,20.16,21.4,22.99,24.99,24.27,24.29,23.94,22.46,22.77,21.55,21.98,24.25,26.33,23.78,23.01,22.35,20.44,20.51,20.95,22.98,21.09,20.81,19.88,19.66,19.65,20.47,21.43,21.18,21.92,21,22.51,21.66,21.8,21.44,22.36,20.32,21.91,22.01,22.09,21.31,22.46,22.78,22.61,21.73,21.76,19.84,18.91,15.85,15.33,13.31,15.13,15.3,15.38,16.05,15.3,14.68,14.76,14.12,14.01,14.5,15.58,14.36,12.83,10.89,10.86,10,9.05,8.58,11.6,13.8,13.85,13.5,13.95,12.69,12.75,12.19,11,11.75,14,11.19,9.88,10.03,11.5,10.69,9,8.13,7.81,9.38,8.06,9.44,11.94,11.81,11.44,11.63,9.63,8.59,7.5,7.5,7.66,7.31,5.94,5.88,5.44,5.38,4.94,6.44,6.38,6.25
200707,Pearson PLC (ADR),13.17,13.58,13.24,13.85,14.49,15.4,16.83,15.46,14.93,15.99,16.84,17.78,17.06,17.12,15.52,15.77,15.1,14.78,14.75,14.24,14.23,13.6,13.65,13.6,13.85,13.85,12.45,13.02,11.87,11.64,11.24,11.73,12.22,12.06,11.88,12.1,12.25,12.26,12.37,11.74,12.16,11.81,11.04,10.83,11.27,11.4,12.48,12.34,11.89,11.5,11.83,11.38,11.21,11.33,10.5,9.57,9.95,9.64,9.6,9.36,8.49,7.8,7.72,9.02,9.35,11.58,10.7,8.26,10.25,9.85,10.39,12.58,12.43,13.33,11.34,11.65,12.28,12.07,12.1,11.12,14.7,15.4,17.03,18.8,21.25,17.55,22.3,24.45,23.56,22.69,27.25,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
