Machine 1	Machine 2
525.8	510.8
514.7	517
537.3	517.5
525.2	521.1
515.2	519.7
542.2	518.2
510.2	517.4
534.7	515.5
533.5	520.7
519.3	519.2
513.5	517.7
542.2	511.8
517.4	522.4
512.9	509
521.1	517.4
511	516.8
519.5	511.4
510	508
544.8	514
519	520.3
517.9	517.9
529.7	519.8
512.8	508.1
520.8	508.6
536.7	518.6
537.3	515.6
525.7	509.3
526.2	513
523.1	515.4
542.6	527
523.3	510.4
527.9	516.4
520.3	505.1
508.4	508.6
539.5	517.1
508.9	517.5
518.7	513.5
526.8	520.1
508.1	521.4
517.3	509.1
512.5	514.4
507.9	512.1
517.3	506
515.6	512.1
516.8	526
531.8	508.5
529.8	511.1
511.9	507
511	508.5
515.5	510.8
531.3	506.3
515.7	511.8
511.8	517.2
529.8	511
511.2	518
528	510.1
523.5	513.2
518.3	505.7
533.9	510
516.2	507.8
537.5	514.4
518.8	519.6
517.8	516.4
519.4	510.3
513	513.4
526.9	520.6
516.9	508.9
517.3	516
534.9	519.2
510.6	518.2
509.1	517.8
517.3	517.3
535.6	512.5
516	513.9
509.9	514.4
529.9	515
507.8	510.6
521.2	521.1
527.4	512.3
520.7	517.1
536.9	521.9
520.4	512.5
514.9	497.1
516.1	512.3
511.1	507.1
508	514.5
515.4	512.7
504.7	503.3
512.5	510.8
516.7	496.5
520.2	515.5
517.4	506
518.9	517.9
522	517
519.4	511.9
521.6	517.7
517.7	511
517.6	517.6
531.1	514.1
512.9	502.3
