Date,Overall AQI Value,Main Pollutant,CO,Ozone,SO2,PM10,PM25,NO2
1/1/2018,51,PM2.5,7,35,6,.,51,28
2/1/2018,57,NO2,7,33,6,22,56,57
3/1/2018,107,NO2,11,29,16,.,69,107
4/1/2018,52,PM2.5,10,32,11,.,52,43
5/1/2018,48,PM2.5,7,36,6,6,48,42
6/1/2018,46,PM2.5,7,35,11,.,46,19
7/1/2018,52,PM2.5,8,35,11,.,52,42
8/1/2018,69,PM2.5,10,27,17,27,69,56
9/1/2018,75,PM2.5,9,33,7,.,75,48
10/1/2018,84,NO2,15,25,7,.,64,84
11/1/2018,95,PM2.5,23,32,7,37,95,83
12/1/2018,58,NO2,20,32,4,.,55,58
01/13/2018,44,PM2.5,9,33,1,.,44,25
01/14/2018,43,PM2.5,6,37,6,6,43,27
01/15/2018,64,NO2,8,33,16,.,58,64
01/16/2018,69,PM2.5,13,25,3,.,69,47
01/17/2018,62,PM2.5,13,26,3,15,62,47
01/18/2018,76,NO2,8,31,3,.,58,76
01/19/2018,72,PM2.5,11,33,6,.,72,53
01/20/2018,56,PM2.5,13,39,4,21,56,45
01/21/2018,67,PM2.5,10,40,6,.,67,51
01/22/2018,96,PM2.5,16,31,4,.,96,52
01/23/2018,51,PM2.5,10,36,4,12,51,45
01/24/2018,39,PM2.5,5,33,3,.,39,26
01/25/2018,39,NO2,7,37,3,.,36,39
01/26/2018,54,NO2,13,34,4,16,53,54
01/27/2018,52,PM2.5,20,39,1,.,52,39
01/28/2018,52,PM2.5,7,29,3,.,52,34
01/29/2018,56,PM2.5,15,31,1,12,56,41
01/30/2018,43,PM2.5,6,31,1,.,43,39
01/31/2018,67,NO2,8,32,1,.,38,67
1/2/2018,66,NO2,11,28,4,25,58,66
2/2/2018,45,PM2.5,10,35,3,.,45,38
3/2/2018,41,PM2.5,9,31,3,.,41,31
4/2/2018,50,NO2,10,35,1,11,48,50
5/2/2018,54,NO2,10,39,3,.,43,54
6/2/2018,61,NO2,11,31,4,.,60,61
7/2/2018,74,PM2.5,13,35,6,17,74,53
8/2/2018,53,PM2.5,7,39,3,.,53,34
9/2/2018,75,PM2.5,11,35,3,.,75,50
10/2/2018,84,PM2.5,16,35,3,26,84,58
11/2/2018,59,PM2.5,22,23,3,.,59,57
12/2/2018,42,PM2.5,10,41,3,.,42,37
02/13/2018,54,PM2.5,8,38,3,14,54,46
02/14/2018,60,PM2.5,9,33,3,.,60,55
02/15/2018,84,PM2.5,14,16,3,.,84,47
02/16/2018,52,PM2.5,13,37,3,6,52,41
02/17/2018,51,PM2.5,8,37,4,.,51,48
