storenum	weeknum	Olesales	Oleprice	Carlsale	Carlpric
1	1	6439	0.660000026	1889	0.790000021
1	2	3329	0.620000005	15948	0.589999974
1	3	3415	0.620000005	6059	0.629999995
1	4	2909	0.620000005	1393	0.810000002
1	5	2598	0.629999995	1329	0.810000002
1	6	3773	0.689999998	1534	0.800000012
1	7	20383	0.629999995	1162	0.779999971
1	8	11761	0.649999976	1422	0.800000012
1	9	2614	0.769999981	1386	0.769999981
1	10	2496	0.810000002	8632	0.680000007
1	11	20811	0.680000007	4895	0.699999988
1	12	8339	0.709999979	2083	0.800000012
1	13	2793	0.839999974	2257	0.800000012
1	14	2416	0.819999993	2110	0.819999993
1	15	2837	0.839999974	2225	0.810000002
1	16	2110	0.819999993	1460	0.829999983
1	17	6422	0.779999971	1151	0.810000002
1	18	4539	0.810000002	1744	0.850000024
1	19	2493	0.889999986	2236	0.819999993
1	20	2262	0.850000024	11123	0.75999999
1	21	2145	0.850000024	7511	0.769999981
1	22	11996	0.709999979	1469	0.839999974
1	23	5847	0.779999971	1817	0.829999983
1	24	2257	0.850000024	1374	0.839999974
1	25	2461	0.870000005	1623	0.829999983
1	26	2075	0.860000014	1448	0.839999974
1	27	14044	0.769999981	1733	0.819999993
1	28	4521	0.800000012	1133	0.779999971
1	29	2052	0.850000024	1569	0.800000012
1	30	1762	0.850000024	4441	0.779999971
1	31	2375	0.870000005	6535	0.779999971
1	32	3256	0.879999995	2084	0.879999995
1	33	3280	0.829999983	1101	0.899999976
1	34	27254	0.689999998	1005	0.870000005
1	35	14129	0.689999998	1042	0.899999976
1	36	2906	0.899999976	1889	0.870000005
1	37	17630	0.689999998	9058	0.689999998
1	38	9431	0.730000019	5122	0.730000019
1	39	32820	0.610000014	1094	0.870000005
1	40	12635	0.670000017	1264	0.889999986
1	41	2509	0.889999986	16402	0.689999998
1	42	2184	0.889999986	6691	0.709999979
1	43	12485	0.699999988	919	0.870000005
1	44	6560	0.75	7894	0.689999998
1	45	2647	0.920000017	4107	0.74000001
1	46	2949	0.910000026	1717	0.889999986
1	47	3016	0.910000026	1703	0.899999976
1	48	2370	0.910000026	36144	0.589999974
1	49	2006	0.910000026	11361	0.620000005
1	50	2556	0.899999976	2337	0.860000014
1	51	13808	0.689999998	1427	0.879999995
1	52	6668	0.819999993	1636	0.860000014
2	1	5463	0.939999998	1852	0.939999998
2	2	4295	0.939999998	2489	0.939999998
2	3	8643	0.939999998	2311	0.939999998
2	4	4658	0.460000008	1534	0.939999998
2	5	3245	0.939999998	1663	0.939999998
2	6	3459	0.939999998	12588	0.600000024
2	7	3367	0.939999998	1697	0.939999998
2	8	3248	0.939999998	1739	0.939999998
2	9	3517	0.949999988	1914	0.939999998
2	10	3414	0.949999988	2221	0.939999998
2	11	3290	1	2530	0.939999998
2	12	3154	1	1718	0.939999998
2	13	3122	1.00999999	2393	0.939999998
2	14	2584	1.029999971	4167	0.920000017
2	15	2719	1.029999971	3793	0.920000017
2	16	2371	1.029999971	2869	0.939999998
2	17	2435	1.019999981	1349	0.939999998
2	18	2534	1.029999971	1454	1.00999999
2	19	2178	1.029999971	1270	1.019999981
2	20	5164	0.839999974	1821	1.00999999
2	21	2857	1.029999971	1883	1.019999981
2	22	2677	1.059999943	2048	1.019999981
2	23	6954	1.070000052	1663	1.019999981
2	24	6805	0.800000012	1211	1.019999981
2	25	1789	1.080000043	1183	1.019999981
2	26	1855	1.070000052	778	1.019999981
2	27	1641	0.959999979	640	1.019999981
2	28	2159	0.949999988	938	1.019999981
2	29	1684	0.949999988	935	1.019999981
2	30	746	1.080000043	620	1.019999981
2	31	890	1.080000043	777	1.019999981
2	32	1343	1.090000033	18971	0.689999998
2	33	1258	1.080000043	947	1.019999981
2	34	1911	1.080000043	1428	1.019999981
2	35	18942	0.790000021	1278	1.019999981
2	36	1827	1.080000043	2738	0.939999998
2	37	1203	0.589999974	1255	0.430000007
2	38	1627	1.090000033	835	1.019999981
2	39	22867	0.689999998	866	1.019999981
2	40	1564	0.920000017	1102	1.00999999
2	41	1634	0.930000007	16767	0.689999998
2	42	1316	0.980000019	990	0.879999995
2	43	21145	0.689999998	712	0.889999986
2	44	2281	0.99000001	1371	0.870000005
2	45	1363	0.970000029	8502	0.779999971
2	46	2062	0.879999995	1838	0.850000024
2	47	2251	0.839999974	1712	0.790000021
2	48	1656	0.870000005	1019	0.829999983
2	49	1534	0.879999995	1057	0.829999983
2	50	1459	0.920000017	938	0.860000014
2	51	1426	0.930000007	1004	0.860000014
2	52	2148	0.839999974	1035	0.860000014
3	1	611	0.670000017	445	0.589999974
3	2	673	0.660000026	551	0.589999974
3	3	710	0.670000017	465	0.589999974
3	4	478	0.660000026	217	0.649999976
3	5	425	0.660000026	187	0.649999976
3	6	601	0.649999976	263	0.649999976
3	7	607	0.670000017	329	0.649999976
3	8	637	0.670000017	330	0.649999976
3	9	507	0.680000007	395	0.649999976
3	10	467	0.680000007	311	0.649999976
3	11	411	0.779999971	276	0.790000021
3	12	538	0.769999981	331	0.790000021
3	13	2670	0.569999993	199	0.790000021
3	14	2966	0.569999993	157	0.790000021
3	15	857	0.670000017	277	0.790000021
3	16	440	0.779999971	280	0.790000021
3	17	455	0.779999971	249	0.790000021
3	18	472	0.779999971	287	0.790000021
3	19	430	0.779999971	245	0.790000021
3	20	413	0.779999971	227	0.790000021
3	21	413	0.769999981	249	0.790000021
3	22	424	0.790000021	261	0.790000021
3	23	1063	0.670000017	279	0.790000021
3	24	469	0.769999981	252	0.790000021
3	25	367	0.819999993	184	0.800000012
3	26	247	0.810000002	119	0.810000002
3	27	448	0.810000002	204	0.810000002
3	28	401	0.829999983	158	0.810000002
3	29	359	0.829999983	215	0.810000002
3	30	156	0.829999983	1026	0.649999976
3	31	272	0.829999983	1672	0.649999976
3	32	476	0.819999993	907	0.680000007
3	33	341	0.839999974	370	0.790000021
3	34	440	0.829999983	327	0.790000021
3	35	418	0.829999983	301	0.790000021
3	36	470	0.829999983	294	0.790000021
3	37	667	0.810000002	319	0.790000021
3	38	6831	0.589999974	210	0.790000021
3	39	2838	0.600000024	183	0.790000021
3	40	1248	0.699999988	241	0.790000021
3	41	991	0.709999979	431	0.790000021
3	42	696	0.709999979	2079	0.689999998
3	43	640	0.709999979	1655	0.689999998
3	44	590	0.699999988	1304	0.689999998
3	45	655	0.699999988	755	0.790000021
3	46	830	0.709999979	363	0.790000021
3	47	831	0.699999988	519	0.790000021
3	48	741	0.709999979	453	0.790000021
3	49	816	0.709999979	350	0.790000021
3	50	855	0.709999979	401	0.790000021
3	51	2038	0.620000005	857	0.639999986
3	52	2910	0.589999974	2218	0.589999974
