Old	New	difference	sequence
17.76493017	18.14649236	0.381562198	1
18.6588423	19.91732628	1.258483977	2
21.83973626	23.59624899	1.756512731	3
16.63949114	17.96481847	1.325327329	4
17.37321495	16.25425635	-1.118958604	5
16.75387517	17.49699448	0.74311931	6
18.01381526	20.78665196	2.772836706	7
22.00112508	22.89239164	0.891266557	8
17.67954524	20.24722894	2.567683703	9
18.22875644	20.95077459	2.722018151	10
20.63031143	22.76167868	2.131367249	11
20.032251	20.64002975	0.60777875	12
15.90333862	14.67460582	-1.2287328	13
15.89169315	16.14524616	0.253553006	14
18.53343847	22.55882694	4.02538847	15
13.91941491	15.45570168	1.536286775	16
18.59551243	16.33115849	-2.264353933	17
20.08922622	21.0338706	0.944644381	18
18.03834793	18.50898599	0.470638067	19
19.87163893	22.31968037	2.448041447	20
18.99985768	24.53328692	5.533429244	21
18.58853382	21.14663154	2.558097728	22
21.01507706	26.3613016	5.34622454	23
15.61702947	18.55705725	2.940027782	24
15.41176822	14.02247865	-1.389289571	25
