Crime Before,Crime After,Murder Before,Murder After,Rape Before,Rape After,Robery Before,Robery After
3860,3527,2.099999905,1.700000048,13.39999962,13.39999962,30,26
3829,3138,2.200000048,1,16.20000076,20.70000076,34,23
4692,3968,2.299999952,2.299999952,34.90000153,19.79999924,23,23
5504,4588,3.799999952,3.599999905,25.29999924,28.10000038,214,175
5364,4774,3.700000048,3.400000095,19.39999962,21.29999924,115,113
5427,4629,5.199999809,3.900000095,21.89999962,24.10000038,208,191
6468,5577,11.39999962,10.10000038,29.20000076,31.60000038,611,507
5676,4856,6.5,5.300000191,28.89999962,32.5,308,242
3453,3060,5.699999809,4.5,20.60000038,23.20000076,175,148
4936,4273,6.300000191,5.099999905,29.89999962,34.70000076,184,146
4430,3929,6.5,5.5,27.79999924,25,109,99
5840,5304,8.800000191,9,21.10000038,31.20000076,205,304
6785,6556,9.100000381,9.699999809,46.59999847,64.80000305,271,307
4439,4172,3.099999905,2.5,14.30000019,16.60000038,71,66
4455,3842,2.299999952,1.799999952,22.70000076,25.29999924,101,71
4137,3800,2.299999952,2,12.5,12.89999962,36,38
4948,4297,9.699999809,7.099999905,25.89999962,26.5,193,141
2648,2583,0.699999988,1.200000048,9.899999619,13.10000038,13,8
2645,2613,2.700000048,1.799999952,11.39999962,26.89999962,17,15
3951,3497,2,178,20.70000076,23.70000076,62,43
4952,4339,5.699999809,3.700000048,24.79999924,27.39999962,87,72
6385,5007,5.300000191,4.099999905,30.89999962,48.90000153,122,116
6012,5215,10.10000038,8.100000381,37.40000153,37.70000076,361,301
10600,8799,0,28.60000038,0,63.70000076,0,1014
4256,3784,7.400000095,7.699999809,24.89999962,26.70000076,122,102
2511,2336,5.199999809,4.400000095,15.10000038,15.60000038,50,38
4543,4044,9.100000381,8.699999809,22,21.60000038,86,75
5361,4663,10.89999962,9.199999809,38.79999924,40.29999924,122,103
5215,4498,12.60000038,9.399999619,39.79999924,40.40000153,155,144
7465,6821,13.5,11.5,53.59999847,50.70000076,298,276
3568,2959,9.699999809,6.599999905,20,22.20000076,97,71
4414,3890,9.699999809,8.399999619,35.5,40,176,167
4634,3902,10.60000038,9.399999619,26,25.10000038,112,96
3573,3060,14,9.699999809,26.5,27.5,73,61
3872,3368,8.199999809,7.5,27.10000038,29.70000076,79,68
5311,5111,16,12.89999962,39.90000153,41.79999924,213,191
5222,4893,10.80000019,7.800000191,37.70000076,39.90000153,133,111
6302,6030,16.10000038,13.10000038,44.59999847,45.90000153,220,179
4333,4653,3.900000095,4.400000095,14.89999962,20.60000038,33,27
4083,3672,2.5,3.400000095,16.60000038,18.70000076,30,24
4804,3683,9.199999809,3.299999952,27.10000038,20.89999962,34,23
7080,6471,6,5.800000191,44.5,39,151,114
6608,6243,11.60000038,9.100000381,48.29999924,55,126,130
7131,6499,8.300000191,7.800000191,38.5,43.09999847,159,131
5334,4766,3.400000095,2.799999952,23.70000076,20.29999924,86,58
7901,6561,13.60000038,10.80000019,61.5,60.70000076,420,279
6282,6102,4.400000095,4.599999905,45.90000153,50,118,121
6567,6244,5.099999905,4.800000191,39.90000153,44.90000153,167,169
7285,6468,11.19999981,10.60000038,50.70000076,45.70000076,372,328
6213,6115,18.5,11.60000038,85.40000153,91.59999847,134,109
6584,5484,3.099999905,3.299999952,34.40000153,30.20000076,157,116
