Month,Month,3M Company,AB Volvo  (ADR),Alcoa Inc.,General Motors Corporation,Infosys Technologies Limited (,Intel Corporation,International Business Machine,Microsoft Corporation,"Nissan Motor Co., Ltd. (ADR)",Pearson PLC (ADR),"Pentair, Inc.",Piper Jaffray Companies,Potlatch Corporation,"Reliant Energy, Inc.","Restoration Hardware, Inc.",SAFECO Corporation,Safeway Inc.,Sea Containers Ltd.,Seagate Technology,Seneca Foods Corporation,Senior Housing Properties Trus,Tata Communications Limited (A,Tata Motors Limited (ADR),TCF Financial Corporation,"TeleCommunication Systems, Inc","""3Mreturns""",SP 500
200804,1,76.9,15.35,34.78,23.2,43.69,22.26,120.7,28.52,17.73,13.17,36.83,37.26,44.81,25.74,4.35,66.74,31.6,0.06,18.87,20.36,23.95,24.65,16.54,17.4,3.64,,1385.59
200803,2,79.15,15.1,36.06,19.05,35.77,21.18,115.14,28.38,16.68,13.58,31.9,33.96,41.27,23.65,4.35,43.88,29.35,0.07,20.94,21.2,23.7,24.82,15.62,17.92,3.15,0.028427037,1322.7
200802,3,78.4,14.9,37.14,23.28,38.92,19.97,113.86,27.2,18,13.24,32.62,38.73,41.27,22.8,4.33,46.26,28.74,0.08,21.57,21.3,21.27,24.8,17.52,18.61,3.1,-0.009566327,1330.63
200801,4,79.65,13.55,33.09,28.21,41.4,21.1,107.11,32.6,19.16,13.85,31.76,47.4,42.93,21.21,4.24,53.37,30.99,0.09,20.27,23.45,22.39,26.57,18.5,21.25,3.57,0.01569366,1378.55
200712,5,84.32,16.5,36.55,24.89,45.36,26.66,108.1,35.6,21.72,14.49,34.81,46.32,44.44,26.24,6.57,55.68,34.21,0.08,25.5,25.99,22.68,37.66,18.86,17.93,3.56,0.05538425,1468.36
200711,6,83.26,17.04,36.37,29.83,42.15,26.08,105.18,33.6,22.9,15.4,33.92,46.32,45.91,26.04,7.06,57.71,34.8,0.05,25.79,25.8,22.09,33.11,18.67,19.41,3.4,-0.012731203,1481.14
200710,7,86.36,19.65,39.59,39.19,50.94,26.9,116.12,36.81,23.03,16.83,35.39,51.4,47.66,27.52,2.96,57.9,34,0.15,27.84,26.96,22.42,27.5,19.7,22.77,4.23,0.035896248,1549.38
200709,8,93.58,17.35,39.12,36.7,48.39,25.86,117.8,29.46,20.01,15.46,33.18,53.6,45.03,25.6,3.29,61.22,33.11,0.25,25.58,27.75,22.06,21.92,19.14,26.18,3.99,0.077153238,1526.75
200708,9,90.99,17.3,36.53,30.74,47.71,25.75,116.69,28.73,19.1,14.93,37.13,51.36,45.04,25.51,3.52,58.02,31.73,0.3,25.82,27.52,20.34,20.19,16.95,25.27,4.09,-0.028464666,1473.99
200707,10,88.92,18.43,38.2,32.4,49.6,23.62,110.65,28.99,21.31,15.99,36.2,47.92,43.69,25.68,4.31,58.47,31.87,0.67,23.51,28,17.28,23,17.15,24.59,4.31,-0.023279352,1455.27
