State,Pers Income,Percap Disp,Population,P Urban,Fatalities ,Fat Rate,BAC 08,Tot Regist,Auto Regist,Drivers,H Miles,Inter Miles,R Miles,Fuel Tax,Tax pgal,H Expend,Doctors,Nurses,P Ninsur,Medicaid
Alabama,"127,479,668","24,628","4,627",55.4,"1,110",1.8,389,"4,678","1,960","3,692","97,323",905,"75,299",620,18,"1,752","10,094","42,180",12,765
Alaska,"23,179,533","30,704",681,65.6,84,1.6,30,680,238,495,"14,438","1,081","12,081",31,8,710,"1,556","5,150",18.2,97
Arizona,"177,294,696","24,653","6,353",88.2,"1,066",1.7,336,"4,372","2,220","4,154","60,593","1,168","37,675",717,18,"2,335","13,321","34,580",18.3,"1,049"
Arkansas,"72,598,261","23,045","2,831",52.5,650,2,182,"2,010",934,"2,046","99,558",656,"87,592",462,21.5,"1,036","5,758","21,920",16.1,622
California,"1,292,510,490","30,480","36,378",94.4,"3,974",1.2,"1,155","33,935","19,829","23,467","171,154","2,461","83,445","3,266",18,"13,288","97,743","233,200",18.2,"6,607"
Colorado,"169,543,660","30,339","4,843",84.5,554,1.1,170,"1,707",775,"3,503","88,163",954,"68,934",568,22,"1,601","12,576","36,850",16.4,430
Connecticut,"163,078,965","38,398","3,490",87.7,277,0.9,101,"3,047","1,977","2,849","21,295",346,"6,187",677,25,"1,265","13,135","34,690",9.4,435
Delaware,"29,385,631","29,708",862,80.1,117,1.2,50,851,465,624,"6,242",41,"3,279",117,23,676,"2,163","8,420",11.2,153
District of Columbia,"31,219,392","45,560",588,100,44,1.2,15,218,161,396,"1,505",13,0,27,20,334,"4,745","8,110",9.5,146
Florida,"594,239,677","28,829","18,200",89.3,"3,214",1.6,890,"16,474","7,075","14,139","121,526","1,471","40,256","2,233",15.3,"8,069","45,110","148,180",20.2,"2,276"
Georgia,"271,138,105","24,954","9,523",71.6,"1,641",1.5,441,"8,513","4,125","6,134","118,779","1,243","81,096",934,7.5,"2,878","20,708","62,230",17.5,"1,271"
Hawaii,"42,602,262","29,342","1,277",91.5,138,1.3,45,993,514,863,"4,341",55,"2,041",85,17,352,"4,049","9,620",7.5,211
Idaho,"40,441,258","23,832","1,496",66.4,252,1.6,70,"1,282",519,"1,028","48,416",613,"42,810",233,25,758,"2,526","9,600",13.9,187
Illinois,"447,059,932","30,408","12,826",87.8,"1,249",1.2,434,"9,757","5,738","8,190","139,157","2,170","98,205","1,333",19,"5,424","35,932","104,130",13.4,"2,107"
Indiana,"178,862,266","25,032","6,336",70.8,898,1.3,230,"4,956","2,670","4,309","95,469","1,172","73,320",880,18,"3,251","13,745","54,770",11.4,882
Iowa,"88,534,193","26,461","2,983",61.1,445,1.4,106,"3,360","1,715","2,094","114,193",781,"102,905",441,21,"1,564","5,647","29,550",9.3,363
Kansas,"86,218,651","27,292","2,777",71.4,416,1.4,114,"2,429",871,"2,018","140,271",874,"127,612",440,24,"1,414","6,181","24,070",12.7,279
Kentucky,"110,982,576","23,279","4,236",55.8,864,1.8,210,"3,547","1,911","2,933","78,587",762,"66,108",563,21,"2,194","9,843","39,120",13.6,732
Louisiana,"130,465,100","26,748","4,373",72.6,985,2.2,368,"3,927","1,884","3,034","61,008",905,"44,731",640,20,"1,923","11,487","39,090",18.5,"1,007"
Maine,"38,000,546","25,599","1,315",40.2,183,1.2,66,"1,080",563,"1,010","22,792",367,"19,805",233,27.6,584,"3,662","13,850",8.8,259
Maryland,"221,924,949","33,636","5,619",86.1,614,1.1,179,"4,510","2,639","3,738","31,300",481,"14,024",755,23.5,"2,689","23,680","48,840",13.7,711
