X1	X2	Y1	Y2	Y3	Y4
10	8	8.039999962	9.140000343	7.460000038	6.579999924
8	8	6.949999809	8.140000343	6.769999981	5.760000229
13	8	7.579999924	8.739999771	12.73999977	7.710000038
9	8	8.81000042	8.770000458	7.110000134	8.840000153
11	8	8.329999924	9.260000229	7.809999943	8.470000267
14	8	9.960000038	8.100000381	8.840000153	7.039999962
6	8	7.239999771	6.130000114	6.079999924	5.25
4	19	4.260000229	3.099999905	5.389999866	12.5
12	8	10.84000015	9.130000114	8.149999619	5.559999943
7	8	4.820000172	7.260000229	6.420000076	7.909999847
5	8	5.679999828	4.739999771	5.730000019	6.889999866
