STATE	COUNTY	GROCPC	SNAPStoresPERTHO	SNAPRedemp	AMB_PAR06	PCT_FREE_LUNCH	PCT_REDUCED_LUNCH	PC_FRUVEG	PC_SNACKS	PC_SODA	PC_MEAT	PC_FATS	PC_PREPFOO	MILK_PRICE	SODA_PRICE	PCT_DIABET	PCT_OBESE_ADULTS	PCT_Child_OBESITY	PctNHWhite	PctNHBlack	PctHisp08	PctNHAsian	PctNHNA08	Median_Inc	Percent_Poverty	metro
Alabama	Autauga	0.080	0.735	148576.00	88.00	28.6	8.50	172.00	112.00	74.00	74.00	18.00	292.00	0.94	0.99	11.40	30.00	12.4	78.00	18.00	1.90	0.60	0.40	51622	10.7	1
Alabama	Baldwin	0.134	0.533	125586.00	103.00	27.2	9.20	149.00	103.00	71.00	69.00	16.00	281.00	1.06	1.01	9.40	24.50	10.8	85.10	9.90	2.90	0.50	0.50	51957	9.9	0
Alabama	Barbour	0.204	0.921	213128.00	82.00	65.4	7.10	160.00	117.00	89.00	69.00	18.00	297.00	1.08	1.00	13.00	36.40	20.8	48.00	46.40	4.00	0.30	0.40	30896	24.5	0
Alabama	Bibb	0.326	0.462	273233.00	84.00	45.6	15.40	172.00	112.00	74.00	74.00	18.00	292.00	0.94	0.99	11.60	31.70	15.4	75.70	22.00	1.40	0.10	0.30	41076	18.5	1
Alabama	Blount	0.106	0.400	174259.00	80.00	30.4	10.20	172.00	112.00	74.00	74.00	18.00	292.00	0.94	0.99	10.50	31.50	19.9	89.40	2.10	7.20	0.20	0.40	46086	13.1	1
Alabama	Bullock	0.183	1.019	172658.00	78.00	82.3	7.30	172.00	112.00	74.00	74.00	18.00	292.00	0.94	0.99	14.50	37.30	15.6	22.50	68.40	7.80	0.20	0.40	26980	33.6	0
Alabama	Butler	0.149	1.344	197389.00	82.00	61.1	12.40	172.00	112.00	74.00	74.00	18.00	292.00	0.94	0.99	14.20	35.50	7.7	56.30	41.60	1.00	0.40	0.20	31449	22.3	0
Alabama	Calhoun	0.275	1.014	188506.00	84.00	42.2	10.00	172.00	112.00	74.00	74.00	18.00	292.00	0.94	0.99	13.50	33.20	15.1	75.70	19.70	2.30	0.70	0.40	39997	17.6	1
Alabama	Chambers	0.202	0.784	246683.00	80.00	58.4	10.20	216.00	110.00	57.00	113.00	16.00	294.00	1.11	1.06	15.10	35.70	7	60.00	37.70	1.20	0.20	0.20	35614	18.7	0
Alabama	Cherokee	0.163	1.019	143954.00	80.00	40.8	10.10	216.00	110.00	57.00	113.00	16.00	294.00	1.11	1.06	13.30	30.70	14.3	91.90	5.40	1.30	0.20	0.30	38028	17.7	0
