Month	3M Company	AB Volvo  (ADR)	Alcoa Inc.	General Motors Corporation	Infosys Technologies Limited (	Intel Corporation	International Business Machine	Microsoft Corporation	"Nissan Motor Co., Ltd. (ADR)"	Pearson PLC (ADR)	"Pentair, Inc."	Piper Jaffray Companies	Potlatch Corporation	"Reliant Energy, Inc."	"Restoration Hardware, Inc."	SAFECO Corporation	Safeway Inc.	Sea Containers Ltd.	Seagate Technology	Seneca Foods Corporation	Senior Housing Properties Trus	Tata Communications Limited (A	Tata Motors Limited (ADR)	TCF Financial Corporation	"TeleCommunication Systems, Inc"	SP 500
200804	-0.029258778	0.016286645	-0.03680276	0.17887931	0.18127718	0.04851752	0.046064623	0.004908836	0.059221658	-0.031131359	0.133858268	0.088566828	0.079000223	0.081196581	0	0.342523224	0.071202532	-0.166666667	-0.109697933	-0.041257367	0.010438413	-0.006896552	0.055622733	-0.029885057	0.134615385	0.045388607
200803	0.009475679	0.013245033	-0.029950083	-0.222047244	-0.088062622	0.057129367	0.011116901	0.041578576	-0.079136691	0.025036819	-0.022570533	-0.140459364	0	0.035940803	0.004597701	-0.054238833	0.020783646	-0.142857143	-0.03008596	-0.004716981	0.102531646	0.000805802	-0.121638924	-0.038504464	0.015873016	-0.005995313
200802	-0.015943878	0.090604027	0.10904685	-0.211769759	-0.063720452	-0.056584877	0.05928333	-0.198529412	-0.064444444	-0.046072508	0.026364194	-0.223857475	-0.040222922	0.069736842	0.020785219	-0.153696498	-0.0782881	-0.125	0.060268892	-0.100938967	-0.052656323	-0.071370968	-0.055936073	-0.141859215	-0.151612903	-0.036013016
200801	-0.058631513	-0.217712177	-0.104563312	0.117688763	-0.095652174	-0.263507109	-0.009242834	-0.09202454	-0.133611691	-0.046209386	-0.096032746	0.02278481	-0.035173538	-0.237152287	-0.549528302	-0.043282743	-0.103904485	0.111111111	-0.258016774	-0.108315565	-0.012952211	-0.417388032	-0.019459459	0.156235294	0.00280112	-0.065148163
200712	0.012571157	-0.032727273	0.004924761	-0.198473282	0.070767196	0.021755439	0.027012026	0.056179775	-0.054327808	-0.062801932	0.025567366	0	-0.033078308	0.007621951	-0.074581431	-0.036458333	-0.017246419	0.375	-0.011372549	0.007310504	0.026014109	0.120817844	0.010074231	-0.082543224	0.04494382	-0.008703588
200711	-0.037232765	-0.153169014	-0.088534506	-0.313778076	-0.208540925	-0.031441718	-0.10401217	-0.095535714	-0.005676856	-0.092857143	-0.043337264	-0.109671848	-0.038118057	-0.056835637	0.580736544	-0.003292324	0.022988506	-2	-0.079488174	-0.04496124	-0.014938886	0.169435216	-0.05516872	-0.173106646	-0.244117647	-0.04607262
200710	-0.08360352	0.117048346	0.011871685	0.063536616	0.050058893	0.03866171	-0.014467792	0.199674002	0.131133304	0.081402258	0.062447019	-0.042801556	0.055182543	0.069767442	-0.111486486	-0.057340242	0.026176471	-0.666666667	0.081178161	-0.029302671	0.016057092	0.202909091	0.028426396	-0.149758454	0.056737589	0.014605842
200709	0.027676854	0.002881844	0.066206544	0.16239782	0.01405249	0.004253674	0.00942275	0.024779362	0.045477261	0.034282018	-0.119047619	0.041791045	-0.000222074	0.003515625	-0.069908815	0.0522705	0.041679251	-0.2	-0.00938233	0.008288288	0.077969175	0.078923358	0.114420063	0.034759358	-0.025062657	0.034557066
200708	0.022749753	-0.065317919	-0.04571585	-0.054001301	-0.039614337	0.082718447	0.051761076	-0.009049774	-0.115706806	-0.070997991	0.025047132	0.066978193	0.029973357	-0.006664053	-0.224431818	-0.007755946	-0.004412228	-1.233333333	0.089465531	-0.01744186	0.150442478	-0.139177811	-0.01179941	0.026909379	-0.053789731	0.012700222
200707	0.023954116	-0.079218665	-0.060994764	-0.166666667	-0.015725806	-0.00508044	0.048802531	-0.016557434	-0.006100422	-0.053158224	-0.065469613	-0.162979967	0.014648661	-0.049454829	-0.294663573	-0.064819566	-0.067775337	-0.731343284	0.074011059	0.021785714	-0.177662037	-0.01173913	0.042565598	-0.13054087	-0.178654292	-0.033038543
200706	-0.013480816	-0.057315234	-0.018504811	0.206613757	0.022429536	0.065711879	-0.012826603	-0.041398032	-0.041044776	-0.055819477	0.04096448	-0.200430648	-0.016957027	0.049350649	-0.129032258	-0.007870222	-0.013223626	-0.163793103	0.054203032	-0.078130705	-0.154791155	0.03609798	-0.135200974	-0.015467626	-0.025590551	-0.018139488
200705	0.059004093	0.075130766	0.140261628	-0.041347116	-0.062944162	0.030658251	0.041181989	0.024437928	0.096774194	0.040494938	0.131116518	0.046188341	0.008908177	0.130757221	0.003174603	-0.063585657	-0.052784223	-0.059259259	-0.075764934	0.031832035	0.028510638	0.065983058	0.019313305	0.040736805	0.226487524	0.031523174
200704	0.076597801	0.135732648	0.044801352	0.018892091	0.040114613	0.110232558	0.077781039	0.069138277	-0.061507937	-0.003516999	0.030491599	0.029305751	-0.055081816	0.087561742	-0.044585987	0.004644891	-0.009366391	0.531468531	-0.051918736	0.014690451	-0.046868156	0.115990453	0.113238512	0.026587888	0.076923077	0.041494364
200703	0.030747089	0.084473528	0.014454277	-0.041122715	-0.079800995	-0.038159958	0.014003819	-0.010764263	-0.074299065	0.093457944	-0.001604621	-0.053115919	0.012669288	0.166338583	-0.018292683	-0.004365498	0.057587336	-0.71641791	-0.154506438	-0.029818956	-0.00167364	0.091792657	-0.141887724	-0.003793627	0.018817204	0.009881339
200702	-0.002969762	0.044184535	0.033223586	-0.029467085	-0.068927387	-0.055387714	-0.066817301	-0.095491658	-0.086994345	-0.016108247	0.001602051	-0.056875671	-0.044469027	0.121605667	-0.049401198	0.040617506	-0.043440487	0.07826087	-0.007063197	0.141675284	-0.086883876	-0.249702735	-0.096704484	0.040816327	-0.043835616	-0.022334058
200701	-0.048855989	0.065261727	0.070897833	0.06455542	0.059310345	0.033874046	0.020171457	0.032404407	0.028811525	0.042485732	-0.007702182	0.054975341	0.071806821	0.045026882	-0.213980029	0.022808936	0.040799334	0.339622642	0.021779254	0.008032129	0.059185242	0.086584206	-0.006403941	-0.080378251	0.186351706	0.013864167
200612	-0.045297061	0.055272727	-0.038653782	0.048502604	0.018878299	-0.056790123	0.053834277	0.016744809	-0.000824063	0.021192053	-0.014649682	0.001227936	0.048607942	0.055594652	0	0.031654676	0.108506944	0.228571429	0.027924528	-0.108906883	0.10620915	0.007291667	0.116005874	0.047410649	-0.122580645	0.012458577
200611	0.032163025	0.040030793	0.072505614	-0.194663017	0.026713992	0.002803738	-0.0044604	0.022138965	0.014409222	0.00202977	-0.033898305	-0.062701706	0.026145359	0.05514158	-0.119858989	0.03929338	0.047062642	-0.37037037	0.123447205	0.014238773	-0.047989031	-0.075026233	-0.006644518	0.003445636	0.066091954	0.016199853
200610	0.056062912	0.042502005	0.030093393	0.047537228	0.083877159	0.036082474	0.112531138	0.047370254	0.06182122	0.034576271	0.204918033	0.123355025	0.086206897	0.029179811	0.090241343	-0.012716962	-0.033719346	-0.581081081	-0.02258636	-0.025555556	0.069341474	0.16056613	-0.0220022	-0.009988475	0.172307692	0.030545597
200609	0.036549315	0.045226131	-0.019614836	0.122669874	0.060339409	0.048614487	0.01183793	0.060329068	-0.013802315	0.000702247	-0.141657121	0.03365226	-0.032614555	-0.093419984	0.189158016	0.020702528	-0.019110379	-0.948717949	0.036379385	0.13470567	0.046391753	-0.038953488	0.006996771	0.008368201	0.159851301	0.023977243
200608	0.018131102	0.069298246	-0.04756908	-0.104523646	0.083835006	0.080224834	0.043966901	0.06381323	0.053579271	0.044272663	0.039464883	0.12615227	0.096580527	0.0653789	0.032716927	0.069138797	0.09214355	-0.929824561	-0.042696629	-0.017529215	0.086486486	0.125349748	0.144715447	-0.032220944	0.004424779	0.020831096
200607	-0.147301136	0.076343073	-0.080467446	0.075705864	0.070090046	-0.055555556	0.007621754	0.031587697	-0.019953596	-0.003676471	-0.19045961	-0.195741356	-0.090725224	0.047694754	-0.055882353	-0.048957558	0.074074074	-0.079545455	0.024137931	0.048400328	0.036578806	-0.122840691	-0.093155894	0.017094017	-0.062222222	0.005060079
200606	-0.035780612	-0.004081633	0.019777503	0.096005371	0.076158074	0.051578947	-0.040093726	0.027896996	-0.103275705	0.003663004	0.00087745	-0.033981376	0.002119205	0.02754591	0.097493036	0.017391304	0.093076923	-0.696842105	-0.031360424	-0.03362069	0.03908431	0.046153846	0.026086957	-0.009451796	0.025104603	8.66005E-05
200605	-0.021157064	-0.024390244	-0.064943253	0.1503899	-0.114164306	-0.108768036	-0.030538173	-0.066225166	-0.085773196	-0.018382353	-0.120608899	-0.10443988	-0.033713831	0.025751073	-0.057098765	0.062669316	-0.065733673	0.129032258	-0.137473233	0.145120934	0.00232423	-0.123058542	-0.233928571	-0.005992509	-0.266094421	-0.031903251
200604	0.114011471	0.075396825	0.095322676	0.070367133	0.010170353	0.026026026	-0.00157882	-0.126708075	0.096847702	0	-0.064524556	0.21316166	-0.100154083	0.06784141	0.169343066	0.03256262	0.000397931	-0.027065527	0.008659639	0.024390244	-0.05416424	-0.141489362	-0.005306319	0.041325391	0.13220339	0.012009675
