C1-D,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expenditur,Equals: Personal saving,"Population (midperiod, thousand"
,1399.253731,47.01492537,143.2835821,1255.970149,1179.850746,1166.41791,76.11940299,143156
,1364.472232,44.13387275,143.4350864,1221.772711,1190.879,1178.374402,30.89371092,143803
,1400.564277,37.61846198,142.5160964,1257.324749,1198.003328,1184.258121,60.04485278,144462
,1395.859918,34.02807316,147.4549837,1248.404934,1203.03417,1189.564724,45.37076421,145135
,1416.853617,33.65114975,148.6259114,1268.227706,1210.740325,1195.316882,58.18844644,145761
,1442.934406,31.89571488,131.0497851,1311.884621,1223.824712,1208.57024,88.05990847,146341
,1459.227468,31.33728456,123.9866476,1334.559575,1222.835343,1207.166701,112.4054772,146973
,1460.207141,30.66230581,125.3747615,1334.832379,1229.217771,1213.545925,105.6146089,147659
,1422.714227,35.53368867,121.6345497,1301.079677,1224.545579,1209.512095,75.85075851,148298
,1422.185544,35.07324118,116.9108039,1305.27474,1244.756207,1228.251152,60.5185338,148891
,1429.364034,33.28940981,113.0452875,1316.318746,1251.126985,1234.48228,65.19176087,149529
,1434.517203,31.21531632,109.600444,1324.916759,1269.422863,1251.387347,55.49389567,150211
,1542.264309,36.90293831,115.5827879,1426.681521,1292.995405,1274.892076,132.9898343,150852
,1541.501976,36.75195895,122.044241,1419.457735,1315.442757,1296.720061,104.0149782,151385
,1570.613022,37.37936659,128.4490961,1442.163926,1383.716189,1364.007068,59.1273617,152039
,1607.190591,38.75968992,150.3608661,1456.829725,1343.892007,1323.843892,112.9377172,152724
,1611.757106,42.63565891,157.622739,1454.134367,1372.093023,1352.713178,82.04134367,153336
,1649.537513,43.03699897,169.5786228,1479.95889,1336.716341,1317.446043,143.2425488,153947
,1664.639221,42.25622639,177.9883475,1486.650874,1349.638261,1330.430885,137.0126128,154655
,1676.885153,42.34877694,187.0931041,1489.792049,1357.689147,1338.727008,132.1029012,155389
,1688.344488,43.56610683,195.1003915,1493.244096,1365.071347,1345.498169,128.1727491,156033
,1705.752908,42.75385099,199.9371267,1505.187048,1386.356492,1366.237032,119.4592895,156644
,1735.413417,43.05772231,201.5600624,1533.853354,1392.823713,1371.606864,141.0296412,157324
,1766.681177,44.15148312,205.8329706,1561.470058,1439.58709,1417.200423,121.2611156,158043
,1794.234592,44.11033797,207.5049702,1586.729622,1461.853877,1438.245527,124.8757455,158648
,1814.913531,44.00917374,207.0290708,1607.264613,1470.898159,1446.104258,136.3664539,159234
,1809.476741,44.48013838,205.1028603,1604.37388,1471.551245,1445.604497,132.8226354,159963
,1798.534573,43.71651992,202.5737331,1595.96084,1463.579829,1437.719352,132.381011,160713
,1791.648783,49.66582868,185.1738304,1606.474952,1469.740634,1443.987982,136.7343185,161389
,1786.457696,48.97759275,183.6659728,1602.791723,1484.63328,1458.920044,118.1584425,162044
,1800.416565,49.62019113,183.7784857,1616.638079,1502.082823,1474.51605,114.5552561,162792
,1831.36511,49.56250382,186.6242428,1645.35275,1529.095025,1502.172184,116.257725,163585
