quarter	year	cottonq	whoprice	impfab	expfab
1	66	2274	98	9.300000191	256
2	66	2287	98.09999847	3.700000048	189
3	66	2083	98.40000153	16	277
4	66	2181	98.69999695	4.699999809	477
1	67	2221	99.30000305	5.699999809	439
2	67	2131	99.5	8.300000191	334.2999878
3	67	1891	100.3000031	25.29999924	249.6999969
4	67	2035	100.9000015	17.29999924	301.2999878
1	68	2035	102	5.300000191	452.2999878
2	68	1930	102.9000015	27	355.2999878
3	68	1712	104	22	277.2999878
4	68	1792	105	1.299999952	204.3000031
1	69	1824	106.0999985	1.299999952	80
2	69	1810	106.5999985	4.699999809	375
3	69	1608	108.1999969	2	188.6999969
4	69	1733	108.8000031	6.699999809	115.6999969
1	70	1654	109.5999985	5	317.7000122
2	70	1810	110.4000015	3.700000048	292
3	70	1467	111.0999985	3	119.6999969
4	70	1560	111.8000031	1.299999952	264.7000122
1	71	1607	112.1999969	5.699999809	186
2	71	1609	112.1999969	2.700000048	367
3	71	1405	113.5999985	3	228.6999969
4	71	1527	113.8000031	1.299999952	294.7000122
1	72	1511	114	12	392
2	72	1475	114.3000031	6	195
3	72	1277	115.1999969	3.700000048	83.69999695
4	72	1384	115.8000031	2.700000048	359
