Experience	yearsenior	Gender_1F	Salary
30	0	0	34550
26	0	0	30150
20	0	0	34000
8	0	0	26000
5	0	1	21500
15	0	0	29350
15	0	1	31000
5	0	1	21800
18	0	1	29200
5	0	0	21800
13	0	0	27500
26	16	0	42300
35	18	0	40000
23	0	0	35600
22	0	0	32600
24	0	0	37150
27	0	0	33000
19	3	0	35250
11	0	1	25650
13	0	1	26800
7	0	1	25000
34	20	0	47200
16	2	0	36350
21	3	0	36350
4	0	0	26900
10	0	0	29200
7	0	0	27300
8	0	1	27800
6	0	1	25000
3	0	1	27950
3	0	0	25350
4	0	1	29000
2	0	0	20750
5	0	1	21000
4	0	1	22000
8	0	0	21000
31	9	0	37200
21	3	0	35600
24	9	0	35450
23	0	1	34900
17	0	0	32250
15	0	0	31800
10	0	0	25150
6	0	0	23700
7	0	1	23200
5	0	1	22350
5	0	1	21750
22	11	0	45000
29	12	0	42100
28	16	0	41450
26	15	0	41050
22	6	0	35550
28	0	0	34750
17	1	0	31400
9	0	0	28600
6	0	0	24900
27	17	0	42200
22	12	0	40400
21	4	0	38100
21	3	0	36750
16	2	0	34400
22	0	0	33200
13	0	0	30700
15	0	0	30550
18	0	0	28500
10	0	0	28000
10	0	1	27100
7	0	0	26000
6	0	0	24900
5	0	0	24500
3	0	0	24000
6	0	0	24000
8	0	1	23700
5	0	0	23700
6	0	1	22400
27	16	0	41550
23	7	0	38250
13	0	0	30000
9	0	0	27000
11	0	0	25700
5	0	1	24000
4	0	0	23500
25	13	0	40100
10	0	0	28000
2	0	0	19500
26	12	0	41050
24	11	0	37150
23	7	0	36600
31	8	0	36350
22	4	0	36300
22	0	0	31750
19	0	0	31600
17	0	1	29200
14	0	1	28800
13	0	1	27700
10	0	0	26400
9	0	1	23600
9	0	0	23050
9	0	0	21000
23	16	0	40800
13	0	0	29450
21	0	0	29300
13	0	1	26450
2	0	1	19500
35	18	0	46350
19	4	0	34300
6	0	1	22600
6	0	0	20500
22	2	0	33300
19	2	0	30350
16	0	0	28300
16	0	0	27800
8	0	1	26700
9	0	1	25950
17	0	1	25500
3	0	1	20500
2	0	1	20000
2	0	0	20000
23	0	0	32500
9	0	0	25650
8	0	0	22800
41	9	0	38500
32	15	0	37300
30	0	0	35000
20	0	0	29750
10	0	0	29000
4	0	1	21000
36	17	0	44500
32	12	0	41750
17	4	0	39500
39	4	0	35300
32	3	1	35000
22	1	0	34200
16	0	0	33650
26	0	0	32500
21	0	0	31750
24	0	1	31600
22	0	0	30750
14	0	0	29300
12	0	0	27950
15	0	1	27900
10	0	1	27800
11	0	0	27300
6	0	0	26300
9	0	1	23800
5	0	0	21100
38	20	0	41200
19	2	0	33150
6	0	0	22650
6	0	1	21300
