State	Population 208	Births 207	Police	Cortleg	Prison	Total  Viol CR	Murder 2007	Rape 2007	Robbery 2007	Assault 2007	Total _Prop Cr	Burgularly	Larceny	Mtr Veh Theft	Doctors	Nurses	Smoker Per	Male Smok	Female Smoke	Alcohol B	B Cancer	L Cancer	Median Income	P G 200k	Per Fam Pov	HS Grad	P HS Grad	Bachelor	Advance	HPI2007	HPI2008	Exp Stu secel
.Alabama	"4,662"	"64,749"	78	141	300	448	8.9 	33	160	246	"3,972"	980	"2,685"	308	218	912	22.5	25.7	19.7	18.8	0.7	3.1	"40,554"	0.008	13.1	38.1	80.4	21.4	8.0	297	201	"8,661"
.Alaska	686	"11,101"	263	313	282	661	6.4 	77	85	492	"3,380"	539	"2,487"	354	228	756	22.2	24.6	19.7	22.7	0.1	0.2	"64,333"	0.005	6.5	7.9	90.5	26.0	9.9	285	318	"11,900"
.Arizona	"6,500"	"102,992"	137	232	352	483	7.4 	29	152	294	"4,414"	912	"2,738"	763	210	544	19.8	23.4	16.3	22.9	0.7	2.8	"49,889"	0.015	10.2	69.1	83.5	25.3	9.2	420	275	"6,067"
.Arkansas	"2,855"	"41,377"	78	186	262	529	6.7 	45	107	371	"3,953"	"1,131"	"2,574"	247	203	774	22.4	24.8	20.2	22.3	0.4	2.2	"38,134"	0.006	13.7	27.9	81.1	19.3	6.5	264	180	"10,398"
.California	"36,757"	"566,352"	214	301	464	523	6.2 	25	193	299	"3,033"	648	"1,784"	600	269	641	14.3	18.1	10.6	21.6	4.0	12.8	"59,948"	0.010	9.3	375.9	80.2	29.5	10.5	602	355	"9,441"
.Colorado	"4,939"	"70,805"	99	210	367	348	3.1 	41	71	233	"3,006"	591	"2,069"	345	260	761	18.7	19.7	17.7	26.2	0.5	1.7	"55,212"	0.006	8.4	46.9	88.9	35.0	12.5	370	252	"9,592"
.Connecticut	"3,501"	"41,663"	168	177	453	256	3.0 	19	103	131	"2,400"	433	"1,705"	262	376	994	15.5	16.6	14.5	25.1	0.5	1.8	"65,967"	0.004	5.7	37.5	88.0	34.7	15.4	477	259	"13,370"
.Delaware	873	"12,171"	173	287	494	689	4.3 	39	197	449	"3,370"	733	"2,369"	268	251	977	19.0	17.6	20.3	23.2	0.1	0.6	"54,610"	0.005	7.5	7.1	87.4	26.1	10.4	522	335	"13,283"
.District of Columbia	592	"8,862"	124	353	615	"1,414"	30.8 	33	724	627	"4,914"	667	"2,955"	"1,292"	807	"1,380"	17.3	19.1	15.7	28.6	0.1	0.2	"54,317"	0.024	13.0	3.4	85.7	47.5	26.0	670	848	"18,260"
.Florida	"18,328"	"239,143"	117	224	368	723	6.6 	34	209	473	"4,089"	996	"2,689"	404	248	814	19.3	21.3	17.5	23.1	2.7	12.2	"47,804"	0.008	8.6	150.3	84.9	25.8	8.9	464	328	"8,991"
.Georgia	"9,686"	"152,021"	95	214	325	493	7.5 	23	182	281	"3,901"	950	"2,505"	446	217	653	19.3	21.2	17.5	21.1	1.1	4.7	"49,136"	0.009	10.7	76.6	82.9	27.1	9.5	348	210	"9,953"
.Hawaii	"1,288"	"19,137"	192	140	517	273	1.7 	25	86	160	"4,225"	709	"2,993"	523	317	753	17.0	19.8	14.3	22.9	0.1	0.6	"63,746"	0.008	5.4	10.7	89.4	29.2	9.9	549	218	"12,084"
.Idaho	"1,524"	"25,019"	101	178	348	239	3.3 	39	16	182	"2,247"	465	"1,633"	149	169	642	19.2	20.9	17.4	19.8	0.2	0.6	"46,253"	0.003	8.9	16.4	88.4	24.5	7.6	358	189	"7,618"
.Illinois	"12,902"	"180,856"	94	136	370	533	5.9 	32	180	316	"2,936"	588	"2,085"	264	280	812	20.2	22.1	18.4	26.2	1.8	6.5	"54,124"	0.005	8.8	130.1	85.7	29.5	11.0	385	294	"11,489"
.Indiana	"6,377"	"89,847"	67	148	258	334	5.6 	28	124	176	"3,397"	739	"2,349"	308	217	864	24.1	25.9	22.4	22.3	0.9	4.0	"47,448"	0.006	8.7	61.1	85.8	22.1	7.9	260	165	"9,875"
.Iowa	"3,003"	"40,885"	97	121	254	295	1.2 	30	44	219	"2,616"	567	"1,885"	164	189	990	19.8	21.4	18.3	27.5	0.4	1.8	"47,292"	0.003	7.4	35.5	89.6	24.3	7.5	255	192	"8,680"
.Kansas	"2,802"	"42,004"	105	137	248	453	3.9 	44	73	332	"3,679"	730	"2,640"	309	223	867	17.9	18.7	17.1	25.4	0.4	1.6	"47,451"	0.007	7.7	29.6	89.1	28.8	9.8	248	230	"10,174"
.Kentucky	"4,269"	"59,370"	92	150	296	295	4.8 	33	96	162	"2,518"	653	"1,661"	205	232	923	28.3	28.8	27.8	21.3	0.6	3.4	"40,267"	0.005	13.2	38.9	80.1	20.0	8.0	295	157	"9,413"
.Louisiana	"4,411"	"66,260"	121	235	253	730	14.2 	32	142	541	"4,076"	"1,039"	"2,684"	354	263	894	22.6	26.4	19.1	24.4	0.7	2.7	"40,926"	0.009	14.6	31.7	79.9	20.4	6.6	253	275	"9,655"
.Maine	"1,316"	"14,120"	76	140	504	118	1.6 	30	27	60	"2,429"	507	"1,826"	96	278	"1,053"	20.1	21.0	19.3	23.1	0.2	1.0	"45,888"	0.002	7.9	13.4	89.4	26.7	9.2	521	168	"12,994"
.Maryland	"5,634"	"78,096"	120	261	493	642	9.8 	21	236	375	"3,432"	660	"2,266"	505	421	869	17.1	18.4	16.0	21.1	0.8	2.9	"68,080"	0.007	5.4	57.1	87.4	35.2	15.7	542	286	"11,881"
.Massachusetts	"6,498"	"77,962"	140	177	669	432	2.9 	25	109	295	"2,392"	553	"1,606"	232	469	"1,210"	16.4	17.4	15.5	26.7	0.9	3.6	"62,365"	0.004	7.3	62.5	88.4	37.9	16.0	708	260	"13,710"
.Michigan	"10,003"	"125,394"	114	227	281	536	6.7 	46	133	351	"3,066"	749	"1,898"	419	250	841	21.2	23.5	19.0	25.2	1.4	5.8	"47,950"	0.009	10.1	106.8	87.4	24.7	9.5	305	231	"11,376"
.Minnesota	"5,220"	"73,745"	118	143	352	289	2.2 	36	92	159	"3,037"	571	"2,225"	241	293	"1,017"	16.5	18.3	14.7	28.8	0.6	2.4	"55,802"	0.004	6.5	59.6	91.0	31.0	10.0	368	251	"10,809"
.Mississippi	"2,939"	"46,501"	68	130	268	291	7.1 	36	98	150	"3,201"	958	"1,990"	253	178	868	24.0	27.8	20.5	18.7	0.4	2.0	"36,338"	0.007	16.3	24.5	78.5	18.9	6.4	266	194	"7,189"
.Missouri	"5,912"	"81,928"	77	138	303	505	6.5 	29	122	347	"3,738"	739	"2,595"	405	246	958	24.6	26.0	23.3	24.3	0.9	4.1	"45,114"	0.009	9.5	59.7	85.6	24.5	8.9	308	202	"8,857"
.Montana	967	"12,444"	132	185	394	288	1.5 	30	20	236	"2,765"	316	"2,266"	183	221	748	19.5	19.8	19.3	26.9	0.1	0.6	"43,531"	0.004	9.7	10.1	90.0	27.0	8.6	395	201	"10,119"
.Nebraska	"1,783"	"26,923"	81	166	258	302	3.8 	30	62	207	"3,161"	510	"2,359"	293	245	"1,010"	19.9	23.2	16.8	24.3	0.2	0.9	"47,085"	0.006	8.2	19.9	89.6	27.5	8.8	261	190	"9,087"
.Nevada	"2,600"	"41,202"	177	223	300	751	7.5 	43	270	430	"3,778"	968	"1,939"	871	188	574	21.5	23.4	19.6	24.2	0.3	1.3	"55,062"	0.016	7.5	17.5	83.7	21.8	7.5	387	357	"7,060"
.New Hampshire	"1,316"	"14,169"	87	126	470	137	1.1 	25	33	78	"1,892"	379	"1,414"	99	275	970	19.4	20.2	18.6	25.6	0.2	0.8	"62,369"	0.002	4.6	14.2	90.5	32.5	11.5	499	209	"11,879"
.New Jersey	"8,683"	"116,060"	159	221	542	329	4.4 	12	145	168	"2,213"	432	"1,529"	253	316	907	17.2	19.4	15.2	22.9	1.5	4.2	"67,035"	0.004	6.3	95.6	87.0	33.9	12.7	577	347	"14,824"
.New Mexico	"1,984"	"30,555"	129	245	334	664	8.2 	52	118	486	"3,726"	964	"2,308"	454	244	580	20.8	23.6	18.1	20.9	0.2	0.7	"41,452"	0.011	14.2	17.4	82.3	24.8	10.2	346	262	"10,138"
.New York	"19,490"	"253,458"	170	265	630	414	4.2 	15	161	234	"1,979"	336	"1,497"	145	396	859	18.9	21.6	16.5	23.3	2.6	8.8	"53,514"	0.003	10.3	158.9	84.1	31.7	13.5	664	393	"15,263"
.North Carolina	"9,222"	"131,016"	62	174	346	466	6.5 	26	150	284	"4,087"	"1,201"	"2,578"	309	254	886	22.9	25.3	20.7	20.4	1.3	5.6	"44,670"	0.007	10.6	81.1	83.0	25.6	8.6	348	216	"8,634"
.North Dakota	641	"8,840"	94	116	268	142	1.9 	32	11	97	"1,890"	338	"1,408"	143	244	"1,097"	21.0	22.2	19.8	32.0	0.1	0.4	"43,753"	0.003	7.5	7.2	89.0	25.7	6.4	261	166	"8,991"
.Ohio	"11,486"	"150,882"	142	174	263	343	4.5 	39	159	141	"3,455"	859	"2,302"	295	267	"1,001"	23.1	24.2	22.1	25.3	1.8	7.3	"46,597"	0.006	9.7	119.7	87.1	24.1	8.8	270	235	"9,809"
.Oklahoma	"3,642"	"55,078"	79	177	211	500	6.1 	43	93	357	"3,526"	943	"2,211"	372	173	712	25.8	28.0	23.8	21.2	0.5	2.4	"41,567"	0.009	11.9	36.9	84.8	22.8	7.6	210	188	"7,939"
.Oregon	"3,790"	"49,372"	100	250	448	288	1.9 	34	76	176	"3,526"	609	"2,529"	388	274	795	16.9	18.9	14.9	21.7	0.5	2.1	"48,730"	0.008	8.9	32.0	88.0	28.3	10.3	472	254	"10,275"
.Pennsylvania	"12,448"	"150,731"	118	225	409	417	5.8 	28	157	226	"2,361"	451	"1,698"	213	305	"1,017"	20.9	20.7	21.1	23.5	2.1	8.1	"48,576"	0.004	8.1	129.9	86.8	25.8	9.9	413	204	"11,971"
.Rhode Island	"1,051"	"12,375"	143	183	530	227	1.8 	24	71	130	"2,623"	495	"1,823"	305	376	"1,007"	17.0	17.8	16.3	27.9	0.1	0.6	"53,568"	0.006	8.3	10.2	83.0	29.8	11.8	585	270	"12,095"
.South Carolina	"4,480"	"62,891"	55	143	325	788	8.0 	40	144	597	"4,272"	"1,026"	"2,860"	386	230	795	21.9	25.3	18.8	21.9	0.6	2.9	"43,329"	0.009	11.2	38.1	82.1	23.5	8.2	322	197	"9,008"
.South Dakota	804	"12,259"	78	178	304	169	2.1 	39	14	114	"1,652"	299	"1,261"	92	219	"1,215"	19.8	20.1	19.5	28.3	0.1	0.5	"43,424"	0.002	8.9	8.2	88.2	25.0	7.0	298	167	"8,126"
.Tennessee	"6,215"	"86,707"	86	147	315	753	6.4 	35	179	533	"4,089"	"1,002"	"2,734"	352	264	894	24.3	25.7	22.9	19.2	0.9	4.5	"42,367"	0.008	12.0	50.8	81.4	21.8	7.6	314	199	"7,772"
.Texas	"24,327"	"407,640"	85	189	233	511	5.9 	35	162	307	"4,121"	955	"2,773"	393	214	662	19.4	22.0	16.9	22.8	2.6	9.8	"47,548"	0.008	12.8	255.8	79.1	25.2	8.2	229	208	"8,445"
.Utah	"2,736"	"55,131"	114	173	378	235	2.2 	34	54	145	"3,500"	588	"2,580"	333	208	625	11.7	15.5	8.0	15.6	0.3	0.5	"55,109"	0.006	6.9	31.5	90.2	28.7	9.1	394	211	"6,060"
.Vermont	621	"6,513"	93	163	470	124	1.9 	20	13	90	"2,323"	500	"1,720"	103	374	912	17.6	19.5	15.9	25.6	0.1	0.4	"49,907"	0.002	6.4	7.1	90.3	33.6	12.9	475	219	"15,940"
.Virginia	"7,769"	"108,874"	95	219	449	270	5.3 	23	99	143	"2,466"	411	"1,873"	182	274	750	18.6	20.3	16.9	22.6	1.1	4.3	"59,562"	0.003	7.1	78.7	85.9	33.6	13.7	478	227	"10,874"
.Washington	"6,549"	"88,958"	105	222	491	333	2.7 	41	94	196	"4,031"	815	"2,634"	582	270	774	16.8	18.0	15.7	22.5	0.8	3.1	"55,591"	0.010	7.8	65.1	89.3	30.3	10.8	514	208	"9,085"
.West Virginia	"1,814"	"21,992"	107	141	229	275	3.5 	20	47	204	"2,525"	597	"1,736"	193	232	938	27.0	28.6	25.5	18.8	0.3	1.5	"37,060"	0.005	13.0	17.3	81.2	17.3	6.6	236	131	"10,236"
.Wisconsin	"5,628"	"72,796"	99	229	329	291	3.3 	22	98	168	"2,838"	497	"2,101"	240	259	905	19.6	19.6	19.5	28.8	0.8	2.9	"50,578"	0.005	7.1	64.1	89.0	25.4	8.5	334	257	"11,064"
.Wyoming	533	"7,893"	163	351	291	239	3.1 	31	16	190	"2,866"	449	"2,265"	152	184	812	22.1	22.8	21.4	26.9	0.1	0.3	"51,731"	0.003	5.2	5.4	91.2	23.4	7.7	290	323	"14,277"
