observtn	milpgal	cylinder	displace	horspwr	accel	year	weight	country	price	company
1	43.09999847	4	90	48	21.5	88	1985	2	8600	4
2	36.09999847	4	98	66	14.39999962	88	1800	1	6600	2
3	32.79999924	4	78	52	19.39999962	88	1985	3	7800	4
4	39.40000153	4	85	70	18.60000038	88	2070	3	9900	4
5	36.09999847	4	91	60	16.39999962	88	1800	3	8000	4
6	19.89999962	8	260	110	15.5	88	3365	1	12200	1
7	19.39999962	8	318	140	13.19999981	88	3735	1	11500	3
8	20.20000076	8	302	139	12.80000019	88	3570	1	10400	2
9	19.20000076	6	231	105	19.20000076	88	3535	1	10200	1
10	20.5	6	200	95	18.20000076	88	3155	1	12100	1
11	20.20000076	6	200	85	15.80000019	88	2965	1	8500	2
12	25.10000038	4	140	88	15.39999962	88	2720	1	8100	2
13	20.5	6	225	100	17.20000076	88	3430	1	9800	3
14	19.39999962	6	232	90	17.20000076	88	3210	1	8200	3
15	20.60000038	6	231	105	15.80000019	88	3380	1	12200	1
16	20.79999924	6	200	85	16.70000076	88	3070	1	8700	2
17	18.60000038	6	225	110	18.70000076	88	3620	1	9800	3
18	18.10000038	6	258	120	15.10000038	88	3410	1	8700	3
19	19.20000076	8	305	145	13.19999981	88	3425	1	14600	1
20	17.70000076	6	231	165	13.39999962	88	3445	1	16600	1
21	18.10000038	8	302	139	11.19999981	88	3205	1	9100	2
22	17.5	8	318	140	13.69999981	88	4080	1	11000	3
23	30	4	98	68	16.5	88	2155	1	7400	1
24	27.5	4	134	95	14.19999981	88	2560	3	10900	4
25	27.20000076	4	119	97	14.69999981	88	2300	3	10100	4
26	30.90000153	4	105	75	14.5	88	2230	1	8000	3
27	21.10000038	4	134	95	14.80000019	88	2515	3	13800	4
28	23.20000076	4	156	105	16.70000076	88	2745	1	11800	3
29	23.79999924	4	151	85	17.60000038	88	2855	1	8600	1
30	23.89999962	4	119	97	14.89999962	88	2405	3	10900	4
31	20.29999924	5	131	103	15.89999962	88	2830	2	16900	4
32	17	6	163	125	13.60000038	88	3140	2	22500	4
33	21.60000038	4	121	115	15.69999981	88	2795	2	15800	4
34	16.20000076	6	163	133	15.80000019	88	3410	2	20800	4
35	31.5	4	89	71	14.89999962	88	1990	2	13700	4
36	29.5	4	98	68	16.60000038	88	2135	3	12700	4
37	21.5	6	231	115	15.39999962	89	3245	1	14700	1
38	19.79999924	6	200	85	18.20000076	89	2990	1	11800	2
39	22.29999924	4	140	88	17.29999924	89	2890	1	10900	2
40	20.20000076	6	232	90	18.20000076	89	3265	1	11600	3
41	20.60000038	6	225	110	16.60000038	89	3360	1	12300	3
42	17	8	305	130	15.39999962	89	3840	1	17600	1
43	17.60000038	8	302	129	13.39999962	89	3725	1	18400	2
44	16.5	8	351	138	13.19999981	89	3955	1	21900	2
45	18.20000076	8	318	135	15.19999981	89	3830	1	15100	3
46	16.89999962	8	350	155	14.89999962	89	4360	1	19900	1
47	15.5	8	351	142	14.30000019	89	4054	1	18300	2
48	19.20000076	8	267	125	15	89	3605	1	15400	1
49	18.5	8	360	150	13	89	3940	1	17900	3
50	31.90000153	4	89	71	14	89	1925	2	11400	4
51	34.09999847	4	86	65	15.19999981	89	1975	3	10000	4
52	35.70000076	4	98	80	14.39999962	89	1915	1	9800	3
53	27.39999962	4	121	80	15	89	2670	1	9900	3
54	25.39999962	5	183	77	20.10000038	89	3530	2	60900	4
55	23	8	350	125	17.39999962	89	3900	1	38600	1
56	27.20000076	4	141	71	24.79999924	89	3190	2	17700	4
57	23.89999962	8	260	90	22.20000076	89	3420	1	15200	1
58	34.20000076	4	105	70	13.19999981	89	2200	1	9500	3
59	34.5	4	105	70	14.89999962	89	2150	1	10100	3
60	31.79999924	4	85	65	19.20000076	89	2020	3	10000	4
61	37.29999924	4	91	69	14.69999981	89	2130	2	8100	4
62	28.39999962	4	151	90	16	89	2670	1	13100	1
63	28.79999924	6	173	115	11.30000019	89	2595	1	13500	1
64	26.79999924	6	173	115	12.89999962	89	2700	1	13100	1
65	33.5	4	151	90	13.19999981	89	2556	1	12300	1
66	41.5	4	98	76	14.69999981	90	2144	2	27000	4
67	38.09999847	4	89	60	18.79999924	90	1968	3	14400	4
68	32.09999847	4	98	70	15.5	90	2120	1	10600	1
69	37.20000076	4	86	65	16.39999962	90	2019	3	13100	4
70	28	4	151	90	16.5	90	2678	1	13500	1
71	26.39999962	4	140	88	18.10000038	90	2870	1	13100	2
72	24.29999924	4	151	90	20.10000038	90	3003	1	13500	2
73	19.10000038	6	225	90	18.70000076	90	3381	1	13800	3
74	34.29999924	4	97	78	15.80000019	90	2188	2	22600	4
75	29.79999924	4	134	90	15.5	90	2711	3	21000	4
76	31.29999924	4	120	75	17.5	90	2542	3	17700	4
77	37	4	119	92	15	90	2434	3	15200	4
78	32.20000076	4	108	75	15.19999981	90	2265	3	14900	4
79	46.59999847	4	86	65	17.89999962	90	2110	3	12400	4
80	27.89999962	4	156	105	14.39999962	90	2800	1	11800	3
81	40.79999924	4	85	65	19.20000076	90	2110	3	12200	4
82	44.29999924	4	90	48	21.70000076	90	2085	2	14600	4
83	43.40000153	4	90	48	23.70000076	90	2335	2	14300	4
84	36.40000153	5	121	67	19.89999962	90	2950	2	19000	4
85	30.40000153	4	146	67	21.79999924	90	3250	2	56100	4
86	44.59999847	4	91	67	13.80000019	90	1850	3	14700	4
87	40.90000153	4	85		17.29999924	90	1835	2	9300	4
88	33.79999924	4	97	67	18	90	2145	3	13500	4
89	29.79999924	4	89	62	15.30000019	90	1845	2	27000	4
90	32.70000076	6	168	132	11.39999962	90	2910	3	31600	4
91	23.70000076	3	70	100	12.5	90	2420	3	28000	4
92	35	4	122	88	15.10000038	90	2500	2	19000	4
93	23.60000038	4	140		14.30000019	90	2905	1	16000	2
94	32.40000153	4	107	72	17	90	2290	3	17800	4
95	27.20000076	4	135	84	15.69999981	91	2490	1	19400	3
96	26.60000038	4	151	84	16.39999962	91	2635	1	19700	1
97	25.79999924	4	156	92	14.39999962	91	2620	1	18800	3
98	23.5	6	173	110	12.60000038	91	2725	1	17200	1
99	30	4	135	84	12.89999962	91	2385	1	18600	3
100	39.09999847	4	79	58	16.89999962	91	1755	3	16600	4
101	39	4	86	64	16.39999962	91	1875	1	13400	3
102	35.09999847	4	81	60	16.10000038	91	1760	3	15000	4
103	32.29999924	4	97	67	17.79999924	91	2065	3	14800	4
104	37	4	85	65	19.39999962	91	1975	3	14100	4
105	37.70000076	4	89	62	17.29999924	91	2050	3	16900	4
106	34.09999847	4	91	68	16	91	1985	3	14900	4
107	34.70000076	4	105	63	14.89999962	91	2215	1	12800	3
108	34.40000153	4	98	65	16.20000076	91	2045	1	14400	2
109	29.89999962	4	98	65	20.70000076	91	2380	1	15400	2
110	33	4	105	74	14.19999981	91	2190	2	21600	4
111	34.5	4	100		15.80000019	91	2320	2	17400	4
112	33.70000076	4	107	75	14.39999962	91	2210	3	21200	4
113	32.40000153	4	108	75	16.79999924	91	2350	3	17600	4
114	32.90000153	4	119	100	14.80000019	91	2615	3	22300	4
115	31.59999847	4	120	74	18.29999924	91	2635	3	21600	4
