Year,National Health Expenditures,Medicare,Hospital Care,Physician and Clinical Services,Prescription Drugs,Admin. & Net Cost of Priv. Hlth,Income Low 5th,Income Median,Income High 5th,Income High 5%,Population,Unemployment,Percent 65 plus,Per age <5,Lag Hosp care,Difference Hosp Care,Difference Physician,Difference Drugs,Difference Population,Difference % > 65,Difference % < 5,Difference Medicare Cost,Difference Income >5%,Difference Income Median,Lag Diff % Age > 65
1960,27487,0,9179,5353,2676,1211,,,,,180671,5.5,9.229483426,11.25858605,,,,,,,,,,,
1961,29358,0,9997,5592,2718,1307,,,,,183691,6.7,9.30312318,11.17202258,9179,818,239,42,3020,0.073639754,-0.086563467,0,,,
1962,32044,0,10667,5992,3029,1431,,,,,186538,5.5,9.358414907,10.97309931,9997,670,400,311,2847,0.055291728,-0.198923267,0,,,0.073639754
1963,34894,0,11749,6749,3159,1483,,,,,189242,5.7,9.3943205,10.74919944,10667,1082,757,130,2704,0.035905592,-0.223899877,0,,,0.055291728
1964,38679,0,12741,7813,3347,1651,,,,,191889,5.2,9.446607153,10.5086795,11749,992,1064,188,2647,0.052286653,-0.240519941,0,,,0.035905592
1965,42160,0,13805,8329,3715,2004,,,,,194303,4.5,9.495993371,10.20262168,12741,1064,516,368,2414,0.049386218,-0.306057818,0,,,0.052286653
1966,46411,1842,15588,8980,3985,2214,,,,,196560,3.8,9.541615792,9.772079772,13805,1783,651,270,2257,0.04562242,-0.430541906,1842,,,0.049386218
1967,52033,4924,18130,10084,4227,2295,8983.957216,39737.16576,100058.8235,157836.8983,198712,3.8,9.597306655,9.341660292,15588,2542,1104,242,2152,0.055690863,-0.43041948,3082,,,0.04562242
1968,58967,6218,20914,11003,4742,2765,9757.975989,41495.71185,100583.8765,153777.2728,200706,3.6,9.648441003,8.924994768,18130,2784,919,515,1994,0.051134348,-0.416665524,1294,-4059.62557,1758.546085,0.055690863
1969,66345,7045,23761,12371,5149,2549,9993.103442,43112.06894,106137.931,163370.6896,202677,3.5,9.710031232,8.573247088,20914,2847,1368,407,1971,0.061590229,-0.351747681,827,9593.416789,1616.357093,0.051134348
1970,74857,7673,27589,13981,5497,2770,9819.7183,42833.09855,106888.0281,164061.2674,205052,4.9,9.805805357,8.371535025,23761,3828,1610,348,2375,0.095774125,-0.201712062,628,690.5778891,-278.9703897,0.061590229
1971,83237,8443,30650,15535,5877,3364,9879.760119,42338.45577,106651.3493,163582.7586,207661,5.9,9.90123326,8.303918405,27589,3061,1554,380,2609,0.095427903,-0.06761662,770,-478.5088484,-494.6427837,0.095774125
1972,92929,9325,34291,17269,6324,4480,10467.90393,44127.51093,113734.7162,176285.3712,209896,5.6,10.01448336,8.14736822,30650,3641,1734,447,2235,0.113250103,-0.156550185,882,12702.61264,1789.055166,0.095427903
1973,102975,10730,38428,19107,6817,4953,10955.9589,45183.08216,116304.041,179144.3834,211909,4.9,10.15766202,7.951998263,34291,4137,1838,493,2013,0.143178652,-0.195369957,1405,2859.012191,1055.571227,0.113250103
1974,116748,13428,44714,21739,7422,4663,10917.12329,43727.335,111889.726,170072.5405,213854,5.6,10.31591647,7.709465336,38428,6286,2632,605,1945,0.158254451,-0.242532927,2698,-9071.842924,-1455.747156,0.143178652
