Year	Beef Veal CPI	Beef Retail	U. S. Population	Beef Production	Veal Retail	Veal Production	Beef Veal Slaughter PPI	Red Meat Retail	Beef Veal Retail	Beef Veal Retail lag	Beef Veal Production	Beef Veal Prod lag
1935	11.6	5348	127.362	6608	989	1023		12883	6337.47		7631	
1936	11.1	6116	128.181	7358	978	1075		14417	7094.43	6337.47	8433	7631
1937	12.5	5615	128.961	6798	1008	1108		14068	6622.81	7094.43	7906	8433
1938	11.6	5576	129.969	6908	905	994		14301	6480.36	6622.81	7902	7906
1939	11.9	5656	131.028	7011	902	991		15212	6557.42	6480.36	8002	7902
1940	12.1	5733	132.122	7175	893	981		16425	6625.74	6557.42	8156	8002
1941	13	6523	133.402	8082	938	1036		16812	7461.24	6625.74	9118	8156
1942	14.5	7104	134.860	8843	1046	1151		17662	8150.06	7461.24	9994	9118
1943	14.6	6738	136.739	8571	1037	1167		19329	7775.31	8150.06	9738	9994
1944	13.9	7388	138.397	9112	1552	1738		21035	8939.63	7775.31	10850	9738
1945	13.9	7695	139.928	10276	1498	1664		19308	9193.25	8939.63	11940	10850
1946	17.7	7173	141.389	9376	1304	1443		19357	8477.23	9193.25	10819	11940
1947	25.1	8139	144.126	10432	1437	1605	37.7	19712	9575.47	8477.23	12037	10819
1948	30.4	7428	146.631	9075	1296	1423	45.4	18699	8723.42	9575.47	10498	12037
1949	28.3	7653	149.188	9439	1223	1334	38.8	18886	8875.77	8723.42	10773	10498
1950	31.2	7762	151.684	9534	1128	1230	44.2	19295	8890.15	8875.77	10764	10773
1951	36.5	7284	154.287	8837	970	1059	52.6	19271	8253.86	8890.15	9896	10764
1952	36.2	7905	156.954	9650	1057	1169	48.2	20234	8961.25	8253.86	10819	9896
1953	28.5	9980	159.565	12407	1408	1546	34.7	21531	11387.84	8961.25	13953	10819
1954	27.4	10357	162.391	12963	1485	1647	35.2	21635	11841.197	11387.84	14610	13953
1955	27.1	10698	165.275	13569	1410	1578	33.9	22957	12108.318	11841.197	15147	14610
1956	26.7	11257	168.221	14462	1438	1632	32.1	23837	12694.853	12108.318	16094	15147
1957	28.7	11234	171.274	14202	1342	1526	34.6	22919	12576.762	12694.853	15728	16094
1958	33.4	10816	174.141	13330	1039	1186	40.9	22101	11855.115	12576.762	14516	15728
1959	34.4	11056	177.073	13580	886	1008	42.1	23642	11942.616	11855.115	14588	14516
