county	city	sizehse	totexp	taxbase	taxrate	Population	Income	hseval	Taxhse	Homper	Rentper	Comper	Indper	Utilper	Year
5	55	5.400000095	713268	110481	0.0129765	6397	2810	17.82279968	52.43999863	0.577850997	0.112649001	0.248400003	0.032432999	0.001637	1
5	55	5.400000095	653226	108081	0.0145501	6397	2810	17.9192009	59.34700012	0.575138986	0.111697003	0.248426005	0.034455001	0.001697	2
7	15	5	1086380	121558	0.029448399	12215	2849	13.97949982	88.61699677	0.579672992	0.136001006	0.251751006	0.00564	0.01504	1
7	15	5	1090320	115073	0.0308361	12215	2849	14.21539974	94.64199829	0.578651011	0.137397006	0.247681007	0.005477	0.014518	2
9	75	5.400000095	363313	61514	0.0247539	5109	3066	20.90550041	109.8980026	0.780885994	0.104892001	0.078892	0.025102001	0.001808	1
9	75	5.400000095	361290	58750	0.029650001	5109	3066	21.65069962	136.8329926	0.793268979	0.076425999	0.090084001	0.027044	0.000905	2
13	100	5.5	3696350	640614	0.03596	29279	3413	24.65559959	225.2050018	0.525372028	0.149436995	0.253455997	0.055950999	0.007136	1
13	100	5.5	3783060	579734	0.037725899	29279	3413	24.95619965	239.6849976	0.524815977	0.148484007	0.255189002	0.055326998	0.007451	2
15	80	5.5	1173640	287631	0.0221046	13494	3261	22.07719994	130.673996	0.654340029	0.071144998	0.130004004	0.130492002	0	1
15	80	5.5	1131450	266008	0.021343	13494	3261	22.61310005	129.5890045	0.654331982	0.066192999	0.132394001	0.134661004	0	2
17	40	5.199999809	1090830	282823	0.0219137	11927	3223	16.2140007	184.0269928	0.493497014	0.046562999	0.091597997	0.355740011	0.011765	1
17	40	5.199999809	1114520	188121	0.0205341	11927	3223	18.7140007	140.6300049	0.533630013	0.050235	0.090954997	0.303081989	0.011962	2
23	75	5.5	630454	77685	0.039087601	5605	3098	15.63029957	121.6579971	0.727052987	0.062077001	0.160392001	0.024262	0.017712001	1
23	75	5.5	646774	73153	0.0396869	5605	3098	15.98349953	127.8470001	0.734758973	0.061818998	0.154641002	0.023553999	0.017044	2
27	145	5.300000191	2586820	452752	0.0154	29178	3272	26.64559937	106.5660019	0.709703028	0.154604003	0.131887004	0	0	1
27	145	5.300000191	2790320	433790	0.0191857	29178	3272	26.81040001	133.6349945	0.708141983	0.149260998	0.133039996	0.00264	0	2
35	15	5.300000191	983081	197720	0.0103135	12575	3218	15.33409977	35.0379982	0.582341015	0.087784998	0.212977007	0.096467003	0.011961	1
35	15	5.300000191	904839	174524	0.0097038	12575	3218	16.82449913	36.33000183	0.584968984	0.089662001	0.218362004	0.096148998	0.000148	2
41	5	5.300000191	804096	123731	0.033249401	7410	2993	17.87330055	121.5149994	0.548219025	0.117032997	0.249497995	0.039979	0.031079	1
41	5	5.300000191	872581	113452	0.033622399	7410	2993	18.25049973	126.0080032	0.545453012	0.120018996	0.249408007	0.04115	0.030603999	2
47	5	5.400000095	2039180	397907	0.0265637	19518	3392	19.82349968	129.2810059	0.641663015	0.075939	0.186437994	0.083552003	0.004611	1
47	5	5.400000095	1956450	361903	0.027096899	19518	3392	20.37649918	136.2559967	0.632799029	0.077523999	0.190363005	0.087541997	0.004441	2
49	110	5.699999809	2904720	713829	0.0187119	13655	3787	20.00250053	96.48699951	0.476119012	0.044227999	0.099615	0.056995001	0.301411003	1
49	110	5.699999809	2077420	857823	0.015982	13655	3787	20.93219948	86.94100189	0.398658007	0.037767999	0.102960996	0.047642998	0.393727988	2
61	110	5.300000191	841496	236287	0.019446	7627	3175	18.42989922	86.08599854	0.492839992	0.078234002	0.266709	0.152322993	0.000192	1
61	110	5.300000191	960484	159798	0.024224101	7627	3175	18.75519943	109.7050018	0.484977007	0.070165001	0.284272999	0.150968999	0.000183	2
67	175	5.400000095	1628670	218219	0.023749299	13754	3508	20.5053997	123.3560028	0.672891974	0.071535997	0.197538003	0.038959999	0.006025	1
67	175	5.400000095	1429840	217661	0.023749501	13754	3508	20.93190002	126.913002	0.636460006	0.085431002	0.207883	0.051582001	0.005684	2
71	10	5.099999905	890472	236420	0.0245574	6305	3975	16.49790001	89.67299652	0.41207999	0.049637999	0.139164001	0.388215005	0.003946	1
71	10	5.099999905	962903	136669	0.025314201	6305	3975	16.70509911	94.21499634	0.415614009	0.048689999	0.141204	0.384891987	0.00344	2
83	95	5.599999905	900267	200766	0.022398699	9583	3497	22.23530006	134.8950043	0.580165982	0.142591	0.225310996	0.031784002	0.001339	1
83	95	5.599999905	975000	192460	0.022166399	9583	3497	22.55830002	135.7359924	0.575161994	0.128165007	0.245067	0.032574002	0.001298	2
85	55	5.699999809	1357080	183072	0.0199912	8190	3676	22.96120071	118.564003	0.631371975	0.092638999	0.128922999	0.135011002	0.00068	1
85	55	5.699999809	996774	168944	0.0219581	8190	3676	23.30109978	132.6730042	0.632260978	0.088274002	0.133889005	0.133586004	0.00061	2
91	35	5.5	1243990	228094	0.025024399	11029	3589	22.83930016	119.1930008	0.644065022	0.075616002	0.187333003	0.055176999	0.004359	1
91	35	5.5	1276610	209516	0.026250999	11029	3589	23.21290016	127.7829971	0.646827996	0.074813999	0.184230998	0.058844	0.003941	2
93	100	5.599999905	521817	80027	0.027039099	5649	3374	17.24539948	101.3649979	0.696470022	0.088799998	0.137247995	0.066555001	6.8E-05	1
93	100	5.599999905	644355	74911	0.025621699	5649	3374	17.67650032	99.26000214	0.698705971	0.084801003	0.135756001	0.070031002	0	2
97	120	5.5	912734	105414	0.027285	7271	3008	13.82579994	86.61699677	0.605396986	0.061997	0.204365	0.050051	0.076282002	1
97	120	5.5	989516	94145	0.025269801	7271	3008	13.94180012	81.06800079	0.602887988	0.057636999	0.209400997	0.052361	0.074983001	2
99	15	5.400000095	3064110	433731	0.038843699	25226	3734	18.32449913	181.1620026	0.71232301	0.059941001	0.143724993	0.079709999	0	1
99	15	5.400000095	3145160	405597	0.038175501	25226	3734	19.21139908	188.8269958	0.717544973	0.058649	0.137728006	0.082393996	0	2
103	65	5.699999809	710597	116946	0.0288586	7783	3547	23.16580009	162.1439972	0.773769021	0.097824	0.083769001	0.025126001	6.7E-05	1
103	65	5.699999809	724194	115081	0.0281009	7783	3547	24.2507	167.6750031	0.770669997	0.095824003	0.093009003	0.028039001	0.000124	2
103	80	5.599999905	455922	96536	0.018540701	8044	3189	22.28540039	97.625	0.748452008	0.078437999	0.129877999	0.037441999	0.000594	1
103	80	5.599999905	445161	94282	0.016251801	8044	3189	23.68519974	92.39299774	0.751751006	0.079594001	0.121844001	0.041639999	0.000561	2
105	150	5.400000095	1256460	150000	0.035856299	9972	3434	17.95350075	149.8170013	0.668712974	0.075176999	0.223680004	0.016478	0.004388	1
105	150	5.400000095	1237100	149758	0.033117902	9972	3434	18.01049995	139.201004	0.666375995	0.076232001	0.227357	0.018743999	0.004271	2
