Family Income	House Price
74295	290542
92416	400482
70116	309839
79174	341698
112846	356368
104880	377431
76108	307969
65143	246771
112939	376220
78195	350315
62129	282872
98852	383694
72597	284254
55100	322901
91453	294264
59533	268258
108997	386231
106719	427403
53487	241908
75576	282163
61344	308824
119245	357324
81724	267741
81317	271814
83658	308322
116366	382674
64661	343696
82759	300442
63957	340489
102263	359842
50416	300089
64074	266427
101053	352014
105015	399887
108648	302165
81167	298942
62965	315979
83549	365500
102879	373783
54148	274323
61845	269494
119602	386152
65291	258107
118776	446651
113459	426198
87907	349949
88586	306405
92720	342707
57008	262206
98279	373112
51286	233504
55265	268993
67096	298529
101351	408445
67443	322913
102158	344698
110013	378263
90060	363586
68481	309619
65429	310480
85358	360202
87406	374065
68737	221443
110958	403857
106962	377505
98797	336298
111614	410509
102535	433613
75196	306203
62757	269836
89841	291264
113018	411963
56250	252967
64544	243654
108196	434684
60545	255231
117756	388675
80156	303010
77892	351951
91933	368581
60511	278833
111174	298590
82906	295259
76140	273177
60591	229231
105743	333803
113417	483650
102509	343213
65188	305929
69327	277946
103895	437356
89449	326492
79198	352530
100125	370040
98142	320616
105056	336827
88167	326118
91166	318004
74311	330677
58841	270506
51130	256611
54604	232516
91743	320225
83314	311643
61359	271050
84237	276936
64091	263594
50201	268411
79319	307784
71705	274659
102251	304835
70047	302077
116109	355318
59630	264260
110972	345809
111389	316034
115027	396942
94549	349357
90798	343380
91311	352912
58398	272859
114762	464870
113327	355472
65631	306491
74153	329054
78333	331175
77568	311107
119092	398205
94195	357783
53282	275612
114803	386248
66566	293656
52725	233784
92251	343191
88163	344893
74170	324025
90166	326586
83321	327955
101416	381503
114008	347137
100753	406338
89628	254423
95975	338620
69629	288033
57535	277881
77693	311450
67273	337609
119759	366736
90795	302594
108136	345442
82108	331410
69544	274495
60033	306486
72417	289060
77904	258573
51592	262179
57548	342304
72937	287707
106931	443786
73912	317279
96606	335336
82265	333137
113430	393719
93480	337062
88078	282039
75447	316285
54939	279063
82467	339533
117820	407417
105235	434918
112226	477384
118475	442139
58163	274063
70120	363034
95072	377114
108325	400399
109271	393212
86781	297599
85863	306370
74272	337231
65680	251072
69189	304768
79339	304188
73407	295923
115377	361121
66635	301315
113212	367147
102744	369298
95414	337431
66798	271865
69103	319354
61042	297169
115608	379196
50874	254385
50355	261345
61033	297992
50410	249265
69331	279466
112713	404561
70249	298456
70541	300752
108357	394168
86141	299738
67696	305499
82206	312344
113770	407496
100013	339377
64893	276571
61412	277782
100392	424138
96815	355504
108836	350605
75577	278601
60816	260190
59807	266555
80919	320421
83449	317795
107498	344192
82811	307114
73403	303499
68363	309404
100489	392332
106809	343276
106153	446910
114162	396976
105973	287468
96959	340593
110244	336374
76762	296090
81902	346390
51773	268192
83068	279528
100002	370700
80862	333889
60343	222790
101319	427646
116267	395760
67755	291041
105066	409059
60555	273515
62477	288865
78730	296110
114750	383482
103787	375442
98834	359893
57478	253689
50101	258274
94772	368832
60051	300778
57377	247722
928425	2087197
190087	526037
516672	1175658
48420	261420
684067	1611067
336940	839411
413781	1134915
137936	484065
437390	1071534
485167	723889
132442	393598
289124	722189
586581	1369536
681948	1721832
278558	743779
595659	1058467
1193123	2497655
175747	333399
357200	1142711
468363	1173470
752036	1409965
96961	306745
164562	445566
386541	1080316
258193	694198
151919	581823
778420	2119105
482677	1371633
393512	845312
288626	662849
542756	1426123
129231	481195
462963	1052079
619330	1115115
306639	726285
144115	479223
157997	562207
210220	361587
342363	1073502
31830	199525
428733	1175362
842350	1876815
125331	447483
124521	376014
370030	901048
572064	1346526
117996	418384
594335	1384649
328319	697902
375317	1093652
