Distributor	weeknum	Sales Pizza1	Price Pizza1	Promotion Pizza1	Sales B2	Price B2	Sales B3	Price B3	Sales B4	Price B4
1	1	6439	0.660000026	2	6295	0.819999993	1889	0.790000021	3740	0.699999988
1	2	3329	0.620000005	2	5908	0.800000012	15948	0.589999974	3126	0.680000007
1	3	3415	0.620000005	0	7321	0.769999981	6059	0.629999995	9820	0.589999974
1	4	2909	0.620000005	0	12876	0.660000026	1393	0.810000002	6727	0.589999974
1	5	2598	0.629999995	0	15607	0.649999976	1329	0.810000002	2489	0.680000007
1	6	3773	0.689999998	0	17644	0.629999995	1534	0.800000012	3240	0.689999998
1	7	20383	0.629999995	3	9755	0.649999976	1162	0.779999971	2431	0.670000017
1	8	11761	0.649999976	2	4049	0.779999971	1422	0.800000012	10206	0.589999974
1	9	2614	0.769999981	2	23438	0.620000005	1386	0.769999981	7083	0.589999974
1	10	2496	0.810000002	2	11415	0.689999998	8632	0.680000007	5817	0.589999974
1	11	20811	0.680000007	3	3672	0.850000024	4895	0.699999988	2382	0.680000007
1	12	8339	0.709999979	2	4206	0.860000014	2083	0.800000012	3287	0.689999998
1	13	2793	0.839999974	2	4485	0.860000014	2257	0.800000012	4085	0.699999988
1	14	2416	0.819999993	0	4313	0.860000014	2110	0.819999993	3955	0.689999998
1	15	2837	0.839999974	0	4639	0.860000014	2225	0.810000002	4457	0.689999998
1	16	2110	0.819999993	0	16457	0.769999981	1460	0.829999983	4193	0.600000024
1	17	6422	0.779999971	2	7822	0.819999993	1151	0.810000002	9185	0.600000024
1	18	4539	0.810000002	2	5032	0.910000026	1744	0.850000024	8415	0.600000024
1	19	2493	0.889999986	0	4595	0.910000026	2236	0.819999993	7959	0.600000024
1	20	2262	0.850000024	0	3814	0.889999986	11123	0.75999999	3282	0.689999998
1	21	2145	0.850000024	0	3854	0.889999986	7511	0.769999981	3390	0.689999998
1	22	11996	0.709999979	3	3398	0.899999976	1469	0.839999974	3428	0.689999998
1	23	5847	0.779999971	2	3778	0.920000017	1817	0.829999983	4121	0.689999998
1	24	2257	0.850000024	2	14627	0.430000007	1374	0.839999974	3486	0.689999998
1	25	2461	0.870000005	0	7529	0.819999993	1623	0.829999983	4119	0.689999998
1	26	2075	0.860000014	2	3243	0.930000007	1448	0.839999974	3607	0.689999998
1	27	14044	0.769999981	3	4215	0.899999976	1733	0.819999993	5107	0.670000017
1	28	4521	0.800000012	0	13258	0.75	1133	0.779999971	9294	0.600000024
1	29	2052	0.850000024	0	9907	0.75999999	1569	0.800000012	7919	0.600000024
1	30	1762	0.850000024	0	2651	0.889999986	4441	0.779999971	2654	0.689999998
1	31	2375	0.870000005	0	4388	0.910000026	6535	0.779999971	3952	0.720000029
1	32	3256	0.879999995	0	10026	0.850000024	2084	0.879999995	6069	0.769999981
1	33	3280	0.829999983	0	17133	0.779999971	1101	0.899999976	12298	0.670000017
1	34	27254	0.689999998	3	4367	0.930000007	1005	0.870000005	7046	0.670000017
1	35	14129	0.689999998	2	3806	0.920000017	1042	0.899999976	2988	0.779999971
1	36	2906	0.899999976	2	5357	0.910000026	1889	0.870000005	5633	0.75999999
1	37	17630	0.689999998	3	19452	0.680000007	9058	0.689999998	6805	0.680000007
1	38	9431	0.730000019	2	31501	0.689999998	5122	0.730000019	6034	0.680000007
1	39	32820	0.610000014	3	10600	0.730000019	1094	0.870000005	3403	0.709999979
1	40	12635	0.670000017	2	4102	0.899999976	1264	0.889999986	19288	0.579999983
1	41	2509	0.889999986	2	3685	0.910000026	16402	0.689999998	10834	0.589999974
1	42	2184	0.889999986	2	32985	0.589999974	6691	0.709999979	2242	0.75999999
1	43	12485	0.699999988	3	13473	0.649999976	919	0.870000005	2183	0.769999981
1	44	6560	0.75	2	3407	0.899999976	7894	0.689999998	2419	0.769999981
1	45	2647	0.920000017	2	4149	0.910000026	4107	0.74000001	3583	0.790000021
1	46	2949	0.910000026	2	4705	0.920000017	1717	0.889999986	4044	0.790000021
1	47	3016	0.910000026	2	4465	0.910000026	1703	0.899999976	4528	0.790000021
1	48	2370	0.910000026	0	3885	0.910000026	36144	0.589999974	5017	0.709999979
1	49	2006	0.910000026	0	17091	0.75999999	11361	0.620000005	9410	0.610000014
1	50	2556	0.899999976	0	9125	0.769999981	2337	0.860000014	9045	0.610000014
1	51	13808	0.689999998	3	4897	0.75999999	1427	0.879999995	2794	0.600000024
1	52	6668	0.819999993	2	4501	0.769999981	1636	0.860000014	3362	0.610000014
2	1	5463	0.939999998	2	3476	0.800000012	1852	0.939999998	1449	0.75
2	2	4295	0.939999998	2	3125	0.930000007	2489	0.939999998	2640	0.74000001
2	3	8643	0.939999998	2	3085	0.930000007	2311	0.939999998	2420	0.75
2	4	4658	0.460000008	0	10753	0.670000017	1534	0.939999998	1184	0.75
2	5	3245	0.939999998	2	6128	0.689999998	1663	0.939999998	1560	0.75
2	6	3459	0.939999998	2	3108	0.870000005	12588	0.600000024	1836	0.75
2	7	3367	0.939999998	2	3741	0.850000024	1697	0.939999998	2559	0.75
2	8	3248	0.939999998	2	2937	0.939999998	1739	0.939999998	2532	0.75
2	9	3517	0.949999988	0	3661	0.939999998	1914	0.939999998	2957	0.75
2	10	3414	0.949999988	0	3406	0.939999998	2221	0.939999998	2895	0.75
2	11	3290	1	0	4163	0.980000019	2530	0.939999998	2847	0.75
2	12	3154	1	0	22639	0.680000007	1718	0.939999998	1976	0.75
2	13	3122	1.00999999	2	4030	0.930000007	2393	0.939999998	3069	0.75
2	14	2584	1.029999971	2	3265	0.99000001	4167	0.920000017	2846	0.75
2	15	2719	1.029999971	2	2947	1.019999981	3793	0.920000017	3054	0.75
2	16	2371	1.029999971	0	3143	1.00999999	2869	0.939999998	3145	0.75
2	17	2435	1.019999981	2	13505	0.790000021	1349	0.939999998	1933	0.75
2	18	2534	1.029999971	0	3783	1.019999981	1454	1.00999999	2977	0.75
2	19	2178	1.029999971	2	18867	0.75	1270	1.019999981	1823	0.75
2	20	5164	0.839999974	2	2638	1.00999999	1821	1.00999999	3033	0.75
2	21	2857	1.029999971	0	2970	1.019999981	1883	1.019999981	3330	0.75
2	22	2677	1.059999943	0	3008	1.049999952	2048	1.019999981	3613	0.75
2	23	6954	1.070000052	2	2386	1.059999943	1663	1.019999981	2571	0.75
2	24	6805	0.800000012	1	2193	1.070000052	1211	1.019999981	2394	0.75
2	25	1789	1.080000043	0	2030	1.070000052	1183	1.019999981	2653	0.75
2	26	1855	1.070000052	0	1335	1.070000052	778	1.019999981	1946	0.75
2	27	1641	0.959999979	0	8525	0.829999983	640	1.019999981	1925	0.75
2	28	2159	0.949999988	0	1768	1.070000052	938	1.019999981	2420	0.75
2	29	1684	0.949999988	0	1951	1.070000052	935	1.019999981	1969	0.75
2	30	746	1.080000043	0	5377	1.070000052	620	1.019999981	1125	0.75
2	31	890	1.080000043	0	9557	0.790000021	777	1.019999981	1385	0.75
2	32	1343	1.090000033	0	2610	1.070000052	18971	0.689999998	1613	0.75
2	33	1258	1.080000043	0	14916	0.850000024	947	1.019999981	1510	0.889999986
2	34	1911	1.080000043	2	3321	1.059999943	1428	1.019999981	2693	0.889999986
2	35	18942	0.790000021	3	1954	1.070000052	1278	1.019999981	1270	0.889999986
2	36	1827	1.080000043	2	2812	1.070000052	2738	0.939999998	11153	0.670000017
2	37	1203	0.589999974	3	2235	1.049999952	1255	0.430000007	997	0.870000005
2	38	1627	1.090000033	0	23094	0.689999998	835	1.019999981	709	0.889999986
2	39	22867	0.689999998	3	1967	1.019999981	866	1.019999981	814	0.889999986
2	40	1564	0.920000017	2	24212	0.689999998	1102	1.00999999	700	0.879999995
2	41	1634	0.930000007	2	2831	1.059999943	16767	0.689999998	771	0.889999986
2	42	1316	0.980000019	0	21245	0.689999998	990	0.879999995	883	0.779999971
2	43	21145	0.689999998	3	2493	0.899999976	712	0.889999986	1082	0.800000012
2	44	2281	0.99000001	3	2330	0.930000007	1371	0.870000005	6140	0.689999998
2	45	1363	0.970000029	2	2122	0.920000017	8502	0.779999971	3556	0.689999998
2	46	2062	0.879999995	2	3881	0.800000012	1838	0.850000024	4063	0.689999998
2	47	2251	0.839999974	0	4534	0.930000007	1712	0.790000021	3145	0.689999998
2	48	1656	0.870000005	0	12067	0.75	1019	0.829999983	1067	0.790000021
2	49	1534	0.879999995	0	6919	0.74000001	1057	0.829999983	8494	0.670000017
2	50	1459	0.920000017	0	7243	0.790000021	938	0.860000014	1469	0.779999971
2	51	1426	0.930000007	0	11785	0.75999999	1004	0.860000014	1377	0.779999971
2	52	2148	0.839999974	0	7826	0.779999971	1035	0.860000014	1527	0.790000021
3	1	611	0.670000017	0	786	0.649999976	445	0.589999974	753	0.550000012
3	2	673	0.660000026	0	957	0.649999976	551	0.589999974	481	0.550000012
3	3	710	0.670000017	0	857	0.649999976	465	0.589999974	713	0.550000012
3	4	478	0.660000026	0	2518	0.569999993	217	0.649999976	557	0.550000012
3	5	425	0.660000026	0	2217	0.569999993	187	0.649999976	649	0.550000012
3	6	601	0.649999976	2	1175	0.589999974	263	0.649999976	690	0.550000012
3	7	607	0.670000017	0	811	0.649999976	329	0.649999976	637	0.550000012
3	8	637	0.670000017	0	748	0.649999976	330	0.649999976	750	0.550000012
3	9	507	0.680000007	0	732	0.649999976	395	0.649999976	680	0.550000012
3	10	467	0.680000007	0	645	0.649999976	311	0.649999976	722	0.550000012
3	11	411	0.779999971	0	657	0.75999999	276	0.790000021	735	0.550000012
3	12	538	0.769999981	0	680	0.75999999	331	0.790000021	747	0.550000012
3	13	2670	0.569999993	3	508	0.75999999	199	0.790000021	591	0.550000012
3	14	2966	0.569999993	3	382	0.75999999	157	0.790000021	479	0.550000012
3	15	857	0.670000017	2	532	0.769999981	277	0.790000021	677	0.550000012
3	16	440	0.779999971	2	640	0.790000021	280	0.790000021	755	0.550000012
3	17	455	0.779999971	2	660	0.790000021	249	0.790000021	394	0.550000012
3	18	472	0.779999971	2	745	0.790000021	287	0.790000021	440	0.550000012
3	19	430	0.779999971	2	616	0.790000021	245	0.790000021	649	0.649999976
3	20	413	0.779999971	2	586	0.790000021	227	0.790000021	542	0.649999976
3	21	413	0.769999981	0	624	0.790000021	249	0.790000021	586	0.649999976
3	22	424	0.790000021	0	596	0.790000021	261	0.790000021	534	0.649999976
3	23	1063	0.670000017	1	725	0.790000021	279	0.790000021	599	0.649999976
3	24	469	0.769999981	0	609	0.790000021	252	0.790000021	639	0.649999976
3	25	367	0.819999993	0	568	0.790000021	184	0.800000012	559	0.660000026
3	26	247	0.810000002	0	481	0.790000021	119	0.810000002	474	0.680000007
3	27	448	0.810000002	0	779	0.790000021	204	0.810000002	706	0.670000017
3	28	401	0.829999983	0	604	0.790000021	158	0.810000002	551	0.670000017
3	29	359	0.829999983	0	612	0.790000021	215	0.810000002	597	0.670000017
3	30	156	0.829999983	0	257	0.790000021	1026	0.649999976	207	0.670000017
3	31	272	0.829999983	0	420	0.790000021	1672	0.649999976	311	0.670000017
3	32	476	0.819999993	0	778	0.790000021	907	0.680000007	601	0.670000017
3	33	341	0.839999974	0	636	0.790000021	370	0.790000021	610	0.670000017
3	34	440	0.829999983	0	700	0.790000021	327	0.790000021	670	0.670000017
3	35	418	0.829999983	0	645	0.790000021	301	0.790000021	641	0.670000017
3	36	470	0.829999983	0	713	0.790000021	294	0.790000021	672	0.670000017
3	37	667	0.810000002	0	572	0.790000021	319	0.790000021	545	0.670000017
3	38	6831	0.589999974	3	520	0.790000021	210	0.790000021	324	0.670000017
3	39	2838	0.600000024	2	355	0.790000021	183	0.790000021	385	0.670000017
3	40	1248	0.699999988	2	460	0.790000021	241	0.790000021	387	0.670000017
3	41	991	0.709999979	1	475	0.790000021	431	0.790000021	403	0.670000017
3	42	696	0.709999979	0	391	0.790000021	2079	0.689999998	352	0.670000017
3	43	640	0.709999979	0	377	0.790000021	1655	0.689999998	379	0.670000017
3	44	590	0.699999988	0	369	0.790000021	1304	0.689999998	319	0.670000017
3	45	655	0.699999988	0	512	0.790000021	755	0.790000021	472	0.670000017
3	46	830	0.709999979	0	494	0.790000021	363	0.790000021	536	0.670000017
3	47	831	0.699999988	0	567	0.790000021	519	0.790000021	515	0.670000017
3	48	741	0.709999979	0	620	0.790000021	453	0.790000021	550	0.689999998
3	49	816	0.709999979	0	573	0.790000021	350	0.790000021	558	0.689999998
3	50	855	0.709999979	0	586	0.790000021	401	0.790000021	518	0.689999998
3	51	2038	0.620000005	3	551	0.790000021	857	0.639999986	510	0.689999998
3	52	2910	0.589999974	3	404	0.790000021	2218	0.589999974	204	0.689999998
