Trading Day	Closing Price	Rates of Return	
	25.09		
1	25.49	0.015942607	
2	26.24	0.029423303	
3	26.16	-0.00304878	
4	26.17	0.000382263	
5	26.84	0.025601834	
6	27.26	0.015648286	
7	26.93	-0.012105649	
8	26.62	-0.011511326	
9	26.51	-0.004132231	
10	25.84	-0.025273482	
11	25.21	-0.024380805	
12	25.02	-0.007536692	
13	24.49	-0.021183054	
14	24.29	-0.008166599	
15	24.46	0.006998765	
16	24.15	-0.012673753	
17	23.73	-0.017391304	
18	23.85	0.00505689	
19	24.29	0.018448637	
20	24.22	-0.002881844	
21	23.8	-0.01734104	
22	23.52	-0.011764706	
23	23.9	0.016156463	
24	23.65	-0.010460251	
25	23.82	0.007188161	
26	23.85	0.001259446	
27	23.72	-0.005450734	
28	23.51	-0.008853288	
29	23.61	0.004253509	
30	23.9	0.012282931	
31	24.38	0.020083682	
32	24.39	0.000410172	
33	24.53	0.005740057	
34	24.31	-0.00896861	
35	24.34	0.00123406	
36	24.19	-0.006162695	
37	23.8	-0.016122365	
38	22.88	-0.038655462	
39	22.85	-0.001311189	
40	23.01	0.007002188	
41	23.18	0.007388092	
42	22.53	-0.028041415	
43	22.67	0.006213937	
44	22.3	-0.016321129	
45	22.26	-0.001793722	
46	22.43	0.007637017	
47	22.35	-0.003566652	
48	21.79	-0.025055928	
49	22.32	0.024323084	
50	22.46	0.006272401	
51	22.5	0.001780944	
52	22.46	-0.001777778	
53	22.53	0.003116652	
54	22.95	0.018641811	
55	22.93	-0.00087146	
56	22.83	-0.004361099	
57	23.62	0.034603592	
58	23.75	0.00550381	
59	23.35	-0.016842105	
60	23.39	0.001713062	
61	23.21	-0.007695596	
62	23.02	-0.008186127	
63	23.07	0.002172024	
64	23.36	0.012570438	
65	23.51	0.006421233	
66	23.71	0.008507018	
67	23.91	0.008435259	
68	24.25	0.014219992	
69	24.65	0.016494845	
70	25.36	0.028803245	
71	25.53	0.00670347	
72	25.47	-0.002350176	
73	25.04	-0.016882607	
74	24.94	-0.00399361	
75	24.99	0.002004812	
76	24.84	-0.006002401	
77	24.79	-0.002012882	
78	24.97	0.007260992	
79	24.91	-0.002402883	
80	25.23	0.012846246	
81	25.21	-0.000792707	
82	25.22	0.000396668	
83	25.15	-0.002775575	
84	25.75	0.023856859	
85	25.66	-0.003495146	
86	25.9	0.009353079	
87	26.02	0.004633205	
88	26.04	0.00076864	
89	25.44	-0.023041475	
90	25.81	0.014544025	
91	25.27	-0.020922123	
92	24.67	-0.023743569	
93	25.92	0.050668829	
94	26.06	0.005401235	
95	26.07	0.00038373	
96	25.94	-0.004986575	
97	26.38	0.016962221	
98	26.26	-0.004548901	
99	25.89	-0.014089871	
100	25.99	0.003862495	
101	26.11	0.00461716	
102	26.22	0.004212945	
103	26.91	0.026315789	
104	27.3	0.014492754	
105	27.32	0.000732601	
106	27.26	-0.002196193	
107	27.35	0.003301541	
108	26.99	-0.013162706	
109	27.34	0.012967766	
110	27.6	0.009509876	
111	26.92	-0.024637681	
112	27.25	0.012258544	
113	27.64	0.014311927	
114	27.81	0.006150507	
115	27.85	0.001438332	
116	27.82	-0.001077199	
117	27.53	-0.010424155	
118	27.85	0.011623683	
119	27.09	-0.027289048	
120	27.09	0	
121	27.56	0.017349575	
122	27.96	0.014513788	
123	28.45	0.017525036	
124	28.55	0.003514938	
125	28.93	0.013309982	
126	28.71	-0.007604563	
127	28.99	0.009752699	
128	29.01	0.000689893	
129	29.01	0	
130	28.65	-0.012409514	
131	28.37	-0.009773124	
132	28.83	0.016214311	
133	28.82	-0.000346861	
134	28.95	0.004510756	
135	29.19	0.008290155	
136	28.99	-0.006851662	
137	29.19	0.006898931	
138	29.18	-0.000342583	
139	29.34	0.005483208	
140	28.74	-0.020449898	
141	28.98	0.008350731	
142	28.49	-0.016908213	
143	27.82	-0.023517024	
144	27.78	-0.001437815	
145	27.97	0.006839453	
146	27.76	-0.007508044	
147	28.18	0.015129683	
148	27.15	-0.036550745	
149	27.39	0.008839779	
150	27.22	-0.006206645	
151	27.78	0.020573108	
152	26.43	-0.048596112	
153	26.45	0.000756716	
154	26.7	0.009451796	
155	26.46	-0.008988764	
156	26.3	-0.006046863	
157	25.93	-0.014068441	
158	26.32	0.015040494	
159	26.53	0.007978723	
160	26.17	-0.013569544	
161	26.96	0.030187237	
162	27.24	0.010385757	
163	27.74	0.01835536	
164	27.59	-0.005407354	
165	26.89	-0.025371511	
166	27.86	0.03607289	
167	28.46	0.021536253	
168	28.25	-0.007378777	
169	28.51	0.00920354	
170	28.3	-0.007365837	
171	28.46	0.00565371	
172	27.16	-0.045678145	
173	26.55	-0.022459499	
174	26.94	0.014689266	
175	26.76	-0.006681514	
176	26.89	0.004857997	
177	26.39	-0.018594273	
178	26.3	-0.003410383	
179	27.1	0.030418251	
180	27.74	0.023616236	
181	27.85	0.003965393	
182	27.76	-0.003231598	
183	27.87	0.003962536	
184	28.16	0.010405454	
185	27.98	-0.006392045	
186	27.75	-0.008220157	
187	27.6	-0.005405405	
188	27.95	0.012681159	
189	27.76	-0.006797853	
190	27.58	-0.00648415	
191	27.62	0.001450326	
192	27.85	0.008327299	
193	27.95	0.003590664	
194	27.91	-0.001431127	
195	28.04	0.004657829	
196	28.01	-0.0010699	
197	28.53	0.018564798	
198	28.18	-0.012267788	
199	27.85	-0.011710433	
200	28.62	0.027648115	
201	29.13	0.017819706	
202	27.92	-0.041537933	
203	28.18	0.009312321	
204	28.79	0.021646558	
205	28.49	-0.010420285	
206	27.92	-0.02000702	
207	28.98	0.037965616	
208	29.47	0.016908213	
209	29.8	0.011197828	
210	30.6	0.026845638	
211	29.7	-0.029411765	
212	30.05	0.011784512	
213	29.97	-0.00266223	
214	30.25	0.009342676	
215	29.31	-0.03107438	
216	28.54	-0.026270897	
217	27.31	-0.043097407	
218	27.17	-0.005126327	
219	28.21	0.038277512	
220	27.61	-0.021269054	
221	26.83	-0.028250634	
222	26.91	0.002981737	
223	26.62	-0.010776663	
224	26.31	-0.011645379	
225	25.56	-0.028506271	
226	26.13	0.022300469	
227	25.71	-0.016073479	
228	26.64	0.036172695	
229	27.69	0.039414414	
230	28.14	0.016251354	
231	24.54	-0.12793177	
232	23.94	-0.024449878	
233	23.6	-0.014202172	
234	24.31	0.030084746	
235	24.95	0.026326615	
236	25.07	0.004809619	
237	25.21	0.005584364	
238	24.36	-0.033716779	
239	24	-0.014778325	
240	23.6	-0.016666667	
241	23.57	-0.001271186	
242	23.65	0.003394145	
243	24.02	0.01564482	
244	24.36	0.014154871	
245	24.89	0.021756979	
246	24.88	-0.000401768	
247	25.15	0.01085209	
248	24.99	-0.006361829	
249	24.93	-0.00240096	
250	24.95	0.000802246	
251	24.51	-0.017635271	
