Year	Real Home Price Index	Real Building Cost Index	U. S. Population Millions	Long Interest Rate	Consumer Price Index
1890	100	51.36233983	63.056	3.42	7.611651901
1891	88.01179106	47.26616291	64.361	3.62	7.801941983
1892	95.42173618	52.04815502	65.666	3.6	7.326212727
1893	92.29738548	44.67333155	66.97	3.75	7.897091074
1894	123.9804828	57.2634338	68.275	3.7	6.850483471
1895	117.4550916	61.47033843	69.58	3.46	6.565052397
1896	100.3029902	60.06894543	70.885	3.6	6.660193388
1897	106.5157028	62.38489276	72.189	3.4	6.469903306
1898	110.1841398	61.4380382	73.494	3.35	6.660193388
1899	103.8531133	64.0446058	74.799	3.1	6.755342479
1900	101.5742948	49.42063381	76.094	3.15	7.897091074
1901	87.3260955	51.25232444	77.584	3.1	7.706792893
1902	100.4736445	50.5161651	79.163	3.18	7.897091074
1903	93.07489238	43.54354964	80.632	3.3	8.658259504
1904	101.854359	47.08562106	82.166	3.4	8.277679339
1905	87.24854753	47.11098375	83.822	3.48	8.467928926
1906	103.5251673	51.76914843	85.45	3.43	8.467928926
1907	109.3165207	49.54470738	87.008	3.67	8.848509091
1908	100.8191824	50.12571412	88.71	3.87	8.658259504
1909	95.38041379	44.07166612	90.49	3.76	8.94367438
1910	93.11063671	37.98176672	92.407	3.91	9.895165289
1911	97.54333604	42.29755769	93.863	3.98	9.229089256
1912	102.3651618	42.25410832	95.335	4.01	9.134004959
1913	95.4085608	40.33646954	97.225	4.45	9.8
1914	96.9771637	34.47783935	99.111	4.16	10
1915	88.1487638	35.31752296	100.546	4.24	10.1
1916	93.72485165	47.29616865	101.961	4.05	10.4
1917	85.00903742	53.59430137	103.268	4.23	11.7
1918	75.56662106	42.64391738	103.208	4.57	14
1919	70.51379536	36.18271778	104.514	4.5	16.5
1920	66.07414907	40.27179997	106.541	4.97	19.3
1921	65.61430848	32.80518504	108.538	5.09	19
1922	74.79619714	34.43760958	110.049	4.3	16.9
1923	76.35007782	41.57111443	111.947	4.36	16.8
1924	74.28697788	40.36963713	114.109	4.06	17.3
1925	78.16282021	39.71851395	115.829	3.86	17.3
1926	72.49060155	38.806699	117.397	3.68	17.9
1927	71.38030121	39.90826985	119.035	3.34	17.5
1928	73.28212987	40.80371925	120.509	3.33	17.3
1929	72.61432988	41.93969439	121.878	3.6	17.1
1930	69.4919137	40.62221708	123.188	3.29	17.1
1931	68.64520321	39.67346769	124.149	3.34	15.9
1932	68.33719351	34.39721356	124.949	3.68	14.3
1933	72.86594698	43.07844416	125.69	3.31	12.9
1934	73.27941113	47.50403985	126.485	3.12	13.2
1935	78.06999903	45.83077321	127.362	2.79	13.6
1936	79.41489505	46.79908534	128.181	2.65	13.8
1937	79.71761781	52.19452665	128.961	2.68	14.1
1938	78.46465294	52.09138282	129.969	2.56	14.2
1939	78.54968493	52.83554543	131.028	2.36	14
1940	81.73080633	54.83643871	132.122	2.21	13.9
1941	73.81588343	56.18900573	133.402	1.95	14.1
1942	68.50282683	53.09349646	134.86	2.46	15.7
1943	70.9229742	50.87879093	136.739	2.47	16.9
1944	80.30899579	50.7115189	138.397	2.48	17.4
1945	87.75004612	50.41571181	139.928	2.37	17.8
1946	106.5058955	54.05276417	141.389	2.19	18.2
1947	109.3296707	54.66305279	144.126	2.25	21.5
1948	101.2225795	54.0249082	146.631	2.44	23.7
1949	100.0466076	55.07055159	149.188	2.31	24
1950	105.8948393	59.9171862	151.684	2.32	23.5
1951	103.8986687	59.2786986	154.287	2.57	25.4
1952	103.9743275	58.94343772	156.954	2.68	26.5
1953	114.7133093	60.8392201	159.565	2.83	26.6
1954	114.199126	62.25447619	162.391	2.48	26.9
1955	115.4621261	65.95528267	165.275	2.61	26.7
1956	115.3166155	68.79148786	168.221	2.9	26.8
1957	115.0956586	69.24632104	171.274	3.46	27.6
1958	112.6852485	68.9257142	174.141	3.09	28.6
1959	110.9804551	70.95296772	177.13	4.02	29
1960	110.5252934	71.63614258	180.76	4.72	29.3
1961	109.19386	71.568197	183.742	3.84	29.8
1962	109.6715141	72.59299982	186.59	4.08	30
1963	109.3600651	73.36701774	189.3	3.83	30.4
1964	106.9815973	74.36711732	191.927	4.17	30.9
1965	109.6945135	75.45724616	194.347	4.19	31.2
1966	109.4094239	76.74926786	196.599	4.61	31.8
1967	107.2260869	77.15051023	198.752	4.58	32.9
1968	106.4102598	79.39056457	200.745	5.53	34.1
1969	108.551772	83.32303834	202.736	6.04	35.6
1970	110.4403285	83.04289525	205.089	7.79	37.8
1971	110.6835353	89.43618588	207.692	6.24	39.8
1972	111.6109763	95.74309566	209.924	5.95	41.1
1973	109.9174642	100.3045578	211.939	6.46	42.6
1974	108.0546431	97.09327155	213.898	6.99	46.6
1975	108.5732528	94.12250092	215.981	7.5	52.1
1976	105.6888238	96.23389798	218.086	7.74	55.6
1977	109.4227094	99.16550373	220.289	7.21	58.5
1978	116.3011356	100.56884	222.629	7.96	62.5
1979	122.0897537	100	225.106	9.1	68.3
1980	117.1383845	93.67720901	227.726	10.8	77.8
1981	110.8164394	90.5038767	230.008	12.57	87
1982	107.2535942	88.95277083	232.218	14.59	94.3
1983	106.145558	91.52830102	234.333	10.46	97.8
1984	105.8545669	89.06159549	236.394	11.67	101.9
1985	107.7450408	86.30725178	238.506	11.38	105.5
1986	111.1730909	85.06563926	240.683	9.19	109.6
1987	118.9245131	85.80011747	242.843	7.08	111.2
1988	122.8489601	84.31285438	245.061	8.67	115.7
1989	127.5113167	81.66945023	247.387	9.09	121.1
1990	126.4770851	79.63498843	250.181	8.21	127.4
1991	116.3061973	76.74207454	253.53	8.09	134.6
1992	114.7016125	77.05381963	256.922	7.03	138.1
1993	111.3212039	78.88788054	260.282	6.6	142.6
1994	111.4965192	79.89887109	263.455	5.75	146.2
1995	110.2706524	77.7443098	266.588	7.78	150.3
1996	109.924555	77.89285948	269.714	5.65	154.4
1997	109.6386511	79.39146429	272.958	6.58	159.1
1998	113.0744612	78.79060549	276.154	5.54	161.6
1999	119.4819042	78.98128131	279.328	4.72	164.3
2000	126.2995915	78.72200105	282.158336	6.66	168.8
2001	133.0421288	76.6401607	284.915024	5.16	175.1
2002	142.0488867	76.8135395	287.501476	5.04	177.1
2003	153.0958467	76.31543516	289.985771	4.05	181.7
2004	168.3677759	80.77302579	292.805643	4.15	185.2
2005	189.1465332	82.79484772	295.583436	4.22	190.7
2006	202.8296794	82.72701137	298.44242	4.42	198.3
2007	185.519535	83.19660676	301.279593	4.76	202.416
2008	149.7088713	83.4461592	304.228257	3.74	211.08
2009	133.5843567	84.80835495	307.212123	2.52	211.143
2010	129.685	84.18072431	310.232863	3.73	216.687
