Sampled Block	Mean Income ($)	"Proportion Below $15,000"	Number of Households
1	"26,283"	0.1304	23
2	"19,197"	0.4516	31
3	"37,911"	0.1250	24
4	"14,527"	0.6585	41
5	"16,753"	0.5143	35
6	"28,312"	0.2692	26
7	"21,646"	0.3548	31
8	"29,312"	0.1563	32
9	"31,829"	0.1333	30
10	"18,412"	0.3846	39
11	"33,893"	0.0769	26
12	"38,409"	0.0476	21
13	"43,911"	0.0000	20
14	"14,699"	0.4375	32
15	"24,921"	0.1111	36
16	"31,827"	0.0909	33
17	"34,436"	0.0833	24
18	"37,647"	0.0400	25
19	"30,026"	0.1081	37
20	"16,493"	0.3659	41
